frequency_id,line_id,start_time,end_time,headway_sec
T119,A_2,06:22:00,06:52:00,60
T12,A_2,18:33:00,19:02:00,60
T120,A_2,05:15:00,05:44:00,60
T1203,B_2,10:45:00,12:05:00,60
T1204,B_2,11:15:00,12:35:00,60
T1205,B_2,11:45:00,13:05:00,60
T1206,B_2,12:15:00,13:35:00,60
T1207,B_2,12:45:00,14:05:00,60
T1208,B_2,13:15:00,14:35:00,60
T1209,B_2,13:45:00,15:05:00,60
T121,A_2,05:00:00,05:29:00,60
T1210,B_2,14:15:00,15:35:00,60
T1211,B_2,14:45:00,16:05:00,60
T1212,B_2,15:15:00,16:35:00,60
T1213,B_2,15:45:00,17:05:00,60
T1214,B_2,16:15:00,17:35:00,60
T1215,B_2,16:45:00,18:05:00,60
T1216,B_2,17:15:00,18:35:00,60
T1217,B_2,17:45:00,19:05:00,60
T1218,B_2,18:15:00,19:35:00,60
T1219,B_2,18:45:00,20:05:00,60
T122,A_1,11:20:00,11:49:00,60
T1220,B_2,19:15:00,20:35:00,60
T123,A_1,11:30:00,11:59:00,60
T124,A_1,11:40:00,12:09:00,60
T125,A_1,11:50:00,12:19:00,60
T126,A_1,12:00:00,12:29:00,60
T1262,C_2,05:25:00,07:35:00,60
T127,A_1,12:10:00,12:39:00,60
T1273,C_1,15:30:00,17:30:00,60
T128,A_1,12:20:00,12:49:00,60
T129,A_1,12:30:00,12:59:00,60
T1297,D_2,05:45:00,07:36:00,60
T13,A_2,12:25:00,12:54:00,60
T130,A_1,12:40:00,13:09:00,60
T131,A_1,21:50:00,22:19:00,60
T1311,D_1,21:00:00,22:50:00,60
T132,A_1,21:28:00,21:57:00,60
T133,A_1,21:06:00,21:35:00,60
T134,A_1,20:44:00,21:13:00,60
T135,A_1,20:22:00,20:51:00,60
T136,A_1,20:00:00,20:29:00,60
T1367,F_2,07:10:00,08:21:00,60
T137,A_1,19:38:00,20:07:00,60
T1378,F_1,16:13:00,17:25:00,60
T138,A_1,19:16:00,19:45:00,60
T139,A_1,19:05:00,19:34:00,60
T14,A_2,12:35:00,13:04:00,60
T140,A_1,18:54:00,19:23:00,60
T141,A_1,18:35:00,19:04:00,60
T142,A_1,17:25:00,17:54:00,60
T143,A_1,17:17:00,17:46:00,60
T144,A_1,17:09:00,17:38:00,60
T145,A_1,17:01:00,17:30:00,60
T146,A_1,16:53:00,17:22:00,60
T147,A_1,16:45:00,17:14:00,60
T148,A_1,16:37:00,17:06:00,60
T149,A_1,16:29:00,16:58:00,60
T15,A_2,12:45:00,13:14:00,60
T151,A_1,11:10:00,11:39:00,60
T152,A_1,11:00:00,11:29:00,60
T153,A_1,10:50:00,11:19:00,60
T154,A_1,10:40:00,11:09:00,60
T155,A_1,10:30:00,10:59:00,60
T156,A_1,10:20:00,10:49:00,60
T157,A_1,10:10:00,10:39:00,60
T158,A_1,10:00:00,10:29:00,60
T159,A_1,09:50:00,10:19:00,60
T16,A_2,12:55:00,13:24:00,60
T160,A_1,19:49:00,20:18:00,60
T161,A_1,19:27:00,19:56:00,60
T162,A_1,18:44:00,19:13:00,60
T164,A_1,23:29:00,23:58:00,60
T165,A_1,23:07:00,23:36:00,60
T166,A_1,22:45:00,23:14:00,60
T167,A_1,22:23:00,22:52:00,60
T168,A_1,22:01:00,22:30:00,60
T169,A_1,21:39:00,22:08:00,60
T17,A_2,13:05:00,13:34:00,60
T170,A_1,21:17:00,21:46:00,60
T171,A_1,20:55:00,21:24:00,60
T172,A_1,20:33:00,21:02:00,60
T173,A_1,20:11:00,20:40:00,60
T174,A_1,09:40:00,10:09:00,60
T175,A_1,09:32:00,10:01:00,60
T176,A_1,09:24:00,09:53:00,60
T177,A_1,09:16:00,09:45:00,60
T178,A_1,09:08:00,09:37:00,60
T179,A_1,09:00:00,09:29:00,60
T18,A_2,13:15:00,13:44:00,60
T180,A_1,08:52:00,09:21:00,60
T181,A_1,08:44:00,09:13:00,60
T182,A_1,08:36:00,09:05:00,60
T183,A_1,08:28:00,08:57:00,60
T184,A_1,08:20:00,08:49:00,60
T185,A_1,08:12:00,08:41:00,60
T186,A_1,08:04:00,08:33:00,60
T187,A_1,07:56:00,08:25:00,60
T188,A_1,16:05:00,16:34:00,60
T189,A_1,15:56:00,16:25:00,60
T19,A_2,13:25:00,13:54:00,60
T190,A_1,00:02:00,00:31:00,60
T191,A_1,15:47:00,16:16:00,60
T192,A_1,15:38:00,16:07:00,60
T193,A_1,15:29:00,15:58:00,60
T196,A_1,15:20:00,15:49:00,60
T197,A_1,15:10:00,15:39:00,60
T198,A_1,15:00:00,15:29:00,60
T199,A_1,14:50:00,15:19:00,60
T2,A_2,06:00:00,06:29:00,60
T20,A_2,13:35:00,14:04:00,60
T200,A_1,17:33:00,18:02:00,60
T201,A_1,17:41:00,18:10:00,60
T202,A_1,17:50:00,18:19:00,60
T203,A_1,17:59:00,18:28:00,60
T204,A_1,18:08:00,18:37:00,60
T205,A_1,18:17:00,18:46:00,60
T206,A_1,18:26:00,18:55:00,60
T207,A_1,14:40:00,15:09:00,60
T208,A_1,14:30:00,14:59:00,60
T209,A_1,14:20:00,14:49:00,60
T21,A_2,13:45:00,14:14:00,60
T210,A_1,14:10:00,14:39:00,60
T211,A_1,14:00:00,14:29:00,60
T212,A_1,13:50:00,14:19:00,60
T213,A_1,13:40:00,14:09:00,60
T214,A_1,13:30:00,13:59:00,60
T215,A_1,13:20:00,13:49:00,60
T216,A_1,13:10:00,13:39:00,60
T217,A_1,13:00:00,13:29:00,60
T218,A_1,12:50:00,13:19:00,60
T219,A_1,07:48:00,08:17:00,60
T22,A_2,13:55:00,14:24:00,60
T220,A_1,07:40:00,08:09:00,60
T221,A_1,07:32:00,08:01:00,60
T222,A_1,07:24:00,07:53:00,60
T223,A_1,07:16:00,07:45:00,60
T224,A_1,07:08:00,07:37:00,60
T225,A_1,06:57:00,07:26:00,60
T226,A_1,06:46:00,07:15:00,60
T227,A_1,06:35:00,07:04:00,60
T228,A_1,06:20:00,06:49:00,60
T229,A_1,06:05:00,06:34:00,60
T23,A_2,14:05:00,14:34:00,60
