route_id,sequence_no,section_id
BL_1_1,116,2096
BL_1_1,117,2097
BL_1_1,118,2098
BL_1_1,119,2099
BL_1_1,120,2100
BL_1_1,121,2101
BL_1_1,122,2102
BL_1_1,123,1167
BL_1_1,124,1168
BL_1_1,125,4963
BL_1_1,126,4964
BL_1_1,127,4965
BL_1_1,128,4966
BL_1_1,129,4967
BL_1_1,130,2637
BL_1_1,131,4906
BL_1_1,132,4907
BL_1_1,133,4908
BL_1_1,134,4778
BL_1_1,135,4782
BL_1_1,136,4783
BL_1_1,137,1961
BL_1_1,138,1962
BL_1_1,139,1963
BL_1_1,140,1964
BL_1_1,141,1965
BL_1_1,142,5481
BL_1_1,143,5482
BL_1_1,144,5483
BL_1_1,145,5484
BL_1_1,146,5485
BL_1_1,147,5486
BL_1_1,148,5487
BL_1_1,149,5488
BL_1_1,150,5489
BL_1_1,151,5490
BL_1_1,152,5491
BL_1_1,153,5492
BL_1_1,154,5493
BL_1_1,155,5494
BL_1_1,156,5495
BL_1_1,157,6368
BL_1_1,158,6369
BL_1_1,159,6370
BL_1_1,160,6371
BL_1_1,161,6372
BL_1_1,162,6373
BL_1_1,163,6374
BL_1_1,164,6375
BL_1_1,165,6376
BL_1_1,166,6270
BL_1_1,167,6386
BL_1_1,168,6262
BL_1_1,169,2301
BL_1_1,170,6260
BL_1_1,171,6261
BL_1_1,172,6249
BL_1_1,173,6250
BL_1_1,174,6251
BL_1_1,175,6252
BL_1_1,176,3915
BL_1_1,177,2618
BL_1_1,178,2629
BL_1_1,179,2605
BL_1_1,180,2606
BL_1_1,181,2625
BL_1_1,182,2626
BL_1_1,183,1540
BL_1_1,184,1541
BL_1_1,185,1542
BL_1_1,186,1543
BL_1_1,187,1544
BL_1_1,188,1545
BL_1_1,189,1546
BL_1_1,190,1547
BL_1_1,191,1548
BL_1_1,192,1549
BL_1_1,193,1550
BL_1_1,194,1551
BL_1_1,195,1552
BL_1_1,196,1553
BL_1_1,197,1554
BL_1_1,198,1555
BL_1_1,199,1556
BL_1_1,200,1557
BL_1_1,201,1558
BL_1_1,202,1559
BL_1_1,203,1560
BL_1_1,204,1561
BL_1_1,205,1562
BL_1_1,206,1563
BL_1_1,207,420
BL_1_1,208,448
BL_1_1,209,449
BL_1_1,210,450
BL_1_1,211,451
BL_1_1,212,452
BL_1_1,213,453
BL_1_1,214,454
BL_1_1,215,455
BL_1_1,216,456
BL_1_1,217,457
BL_1_1,218,458
BL_1_1,219,459
BL_1_1,220,460
BL_1_1,221,461
BL_1_1,222,462
BL_1_1,223,466
BL_1_1,224,467
BL_1_1,225,436
BL_1_1,226,437
BL_1_1,227,438
BL_1_1,228,439
BL_1_1,229,440
BL_1_1,230,441
BL_1_1,231,2502
BL_1_1,232,2519
