from_stop_id,to_stop_id,transfer_type,min_transfer_time
7517,13521,,
7508,506,,
4368,2033,,
7503,13527,,
12021,12012,,
7470,7473,,
11786,11803,,
11863,11856,,
11735,11693,,
7507,7681,,
7516,1237,,
489,12301,,
5796,3554,,
12036,7682,,
11746,11586,,
4134,3179,,
2987,3259,,
12132,11874,,
11569,11553,,
11854,11865,,
4650,4471,,
11875,12131,,
4650,10571,,
12323,431,,
10610,8657,,
4506,4607,,
12014,12019,,
3031,3218,,
1369,32,,
11499,11475,,
4790,8659,,
11856,11863,,
11728,11700,,
3092,5948,,
7524,13664,,
11957,11787,,
7682,2067,,
138,10467,,
11869,11850,,
516,286,,
1149,7982,,
718,7886,,
11486,11488,,
12537,12538,,
7670,1506,,
11566,11556,,
5842,5874,,
11487,5003,,
11872,12134,,
3618,4332,,
11553,11569,,
12557,5005,,
516,515,,
7640,7684,,
10571,4471,,
431,12323,,
11763,11559,,
11722,11707,,
11884,12074,,
7673,4853,,
5224,4926,,
4686,4429,,
12135,11833,,
9255,6099,,
7515,1359,,
10568,7642,,
11760,11767,,
7506,7514,,
5253,6226,,
2120,1550,,
1612,3757,,
12313,6294,,
67,68,,
6484,2615,,
7916,7865,,
4828,1214,,
10542,10536,,
11693,13653,,
3929,8978,,
10533,3220,,
3493,3546,,
66,7512,,
1870,1014,,
2155,12295,,
4773,4548,,
11986,11991,,
6422,3728,,
3086,10237,,
7643,2936,,
5359,2919,,
3295,3356,,
4987,5207,,
1344,62,,
7641,1342,,
7683,13664,,
10802,3473,,
1265,7641,,
12220,1287,,
7682,504,,
1365,2506,,
11814,11841,,
528,4016,,
5232,7506,,
11759,11580,,
11980,7647,,
7517,13524,,
66,519,,
10548,4655,,
12023,12010,,
2319,2185,,
5968,453,,
11970,11946,,
11472,5855,,
3656,10744,,
1539,5982,,
7681,2936,,
7683,7524,,
11897,11712,,
11944,11972,,
8995,8997,,
10774,3482,,
7519,4819,,
7503,755,,
5059,5998,,
7462,7481,,
1651,1557,,
11974,11942,,
7517,13527,,
11961,11955,,
11821,11646,,
1398,1209,,
7643,7513,,
6759,3210,,
3218,10545,,
11948,11968,,
11592,11619,,
7512,10567,,
6058,6106,,
10474,1944,,
11818,11900,,
7641,1265,,
10420,6058,,
8444,7540,,
10876,6831,,
13525,164,,
11477,11497,,
164,13524,,
12713,12169,,
11957,11959,,
4881,5022,,
2485,3633,,
7681,7513,,
1365,7504,,
7645,4902,,
4522,4589,,
12076,11882,,
7282,6099,,
7513,8444,,
1221,10685,,
13529,13525,,
11585,11619,,
6294,12313,,
7621,7561,,
4429,4686,,
7511,10534,,
13591,13594,,
3356,3295,,
821,1607,,
3122,3130,,
1196,1412,,
7596,4617,,
7519,10309,,
3568,3476,,
11984,12461,,
122,3661,,
11840,11815,,
326,12669,,
11693,11735,,
12003,7566,,
11519,11545,,
11580,11759,,
2156,543,,
11702,11726,,
2339,10745,,
6106,6058,,
6461,11000,,
11880,12078,,
11583,11594,,
564,467,,
5585,10880,,
880,948,,
11980,531,,
5232,1864,,
4035,1277,,
5585,10668,,
7504,1237,,
4934,5209,,
3661,122,,
8946,2349,,
6206,929,,
6400,2514,,
2488,12711,,
1891,2674,,
3546,3493,,
7513,7540,,
7632,3304,,
5955,3595,,
11943,11973,,
3623,4330,,
11537,11527,,
11482,11492,,
11586,11746,,
12460,3096,,
11524,11540,,
7506,1864,,
7637,6450,,
7689,2737,,
11732,11696,,
10237,3170,,
7617,7565,,
12133,11873,,
11471,11473,,
5669,6370,,
11541,11523,,
6183,3595,,
4247,6837,,
934,10557,,
1265,13664,,
2629,2499,,
1750,7668,,
3610,3427,,
7687,6450,,
11491,11483,,
2492,2637,,
11765,11564,,
3259,7177,,
11978,12004,,
11952,11964,,
11965,11951,,
2047,1322,,
2033,4368,,
7684,7640,,
909,929,,
4819,10309,,
2488,5847,,
11713,11716,,
112,6818,,
12018,12015,,
11557,11565,,
11956,11960,,
1613,4062,,
12009,12024,,
5584,10879,,
11735,10921,,
2649,2440,,
2440,2649,,
11495,11479,,
11990,11987,,
4652,10577,,
11545,11519,,
1864,5232,,
7177,3259,,
113,81,,
11957,11910,,
5988,1545,,
7503,13522,,
7508,3661,,
11697,11731,,
7665,10640,,
10467,138,,
3431,3606,,
7565,7617,,
11855,11864,,
1237,7516,,
5933,909,,
11121,2186,,
13612,6354,,
3507,3526,,
5225,5208,,
11646,11821,,
12015,13408,,
5070,1214,,
3427,3610,,
7511,7509,,
13528,13529,,
11851,11868,,
10568,12036,,
11582,11595,,
7668,1750,,
879,976,,
3036,3213,,
1382,10685,,
7516,2623,,
2708,2039,,
10577,4470,,
7647,531,,
2740,2919,,
5209,4934,,
7504,2623,,
4065,529,,
13525,7503,,
7515,7505,,
4993,5203,,
8946,2140,,
6294,3554,,
7517,755,,
11717,11712,,
11879,12128,,
11864,11855,,
515,285,,
5485,7050,,
7509,3897,,
3554,12313,,
5034,4308,,
3757,1612,,
2050,2674,,
3086,3170,,
12557,4899,,
2670,1329,,
11805,11847,,
2919,5359,,
5005,12557,,
11910,11959,,
11643,11640,,
6849,6851,,
4062,1613,,
13526,13524,,
2174,11511,,
11528,11536,,
11487,4070,,
494,4064,,
9001,4920,,
251,5248,,
7513,7643,,
11478,11496,,
7508,286,,
12501,8624,,
12004,11978,,
10906,6965,,
11779,11844,,
7568,4549,,
6515,6646,,
5203,4993,,
7512,506,,
4148,555,,
909,5933,,
10921,11735,,
7677,11980,,
7540,809,,
1584,2639,,
4251,4967,,
3259,2987,,
12422,11149,,
7645,5003,,
7508,504,,
7643,3034,,
7503,13525,,
12711,2641,,
1550,2120,,
7511,3897,,
12220,1322,,
7198,7507,,
11575,11602,,
7865,7916,,
3109,6553,,
11520,11544,,
3215,3034,,
3595,6183,,
11962,11954,,
7192,12712,,
7683,1342,,
11971,11945,,
11945,11971,,
7517,13522,,
11694,11734,,
10419,10420,,
2615,6484,,
3158,12460,,
506,7508,,
4471,10571,,
11559,11763,,
283,3395,,
7516,7504,,
7507,2936,,
7648,2499,,
12077,11881,,
495,4017,,
2509,36,,
11719,11710,,
4251,4950,,
7699,2778,,
806,7200,,
286,516,,
7485,7455,,
13664,7683,,
11815,11840,,
13598,13603,,
6870,6894,,
11770,11754,,
551,475,,
5168,6233,,
827,4048,,
6450,9001,,
7507,809,,
531,7647,,
932,12716,,
4935,5351,,
11861,11858,,
2623,7504,,
8658,7587,,
7561,7621,,
7050,5485,,
6646,6515,,
1589,4062,,
814,1605,,
68,67,,
7677,493,,
1892,2435,,
7507,7513,,
8581,7886,,
11149,12422,,
5208,5225,,
2936,7681,,
583,8700,,
11977,11543,,
11873,12133,,
4334,4134,,
3078,4134,,
7680,2074,,
283,12712,,
32,1369,,
2639,1584,,
12409,12410,,
10579,10899,,
12538,12537,,
12015,12018,,
11729,11699,,
2919,2740,,
11500,11474,,
5248,6235,,
1267,70,,
2185,2319,,
11881,12077,,
11857,11862,,
11496,11478,,
2022,1919,,
251,7272,,
11987,11990,,
1601,1260,,
12742,12743,,
7522,10906,,
7507,7198,,
1277,4035,,
4382,7060,,
2662,12177,,
