,X,Y,county
192,-76.9153397530396,39.15579226295559,Howard
193,-76.8087276079837,39.43920308175076,Baltimore
194,-76.86867742856269,39.25279101734785,Howard
195,-76.8615812291966,39.26623134409736,Howard
197,-76.17173300268422,39.517693312785354,Harford
198,-76.64981475387398,39.13081491513217,Anne Arundel
199,-76.56159099332663,38.92172321573825,Anne Arundel
201,-76.5613280465615,38.923520473131596,Anne Arundel
203,-76.55753947641091,38.9194854811928,Anne Arundel
204,-76.56669445091478,38.92545128982167,Anne Arundel
205,-76.07046670583301,39.04859627817784,Queen Anne's
206,-76.05014362508693,39.03408997627974,Queen Anne's
207,-76.99113932811731,39.42468252272866,Carroll
209,-76.76514795481218,39.31408229287491,Baltimore
212,-76.43561285508628,39.40088811983184,Baltimore
213,-76.63595260458635,39.27983612615969,Baltimore City
216,-76.48653322095937,39.2731578381844,Baltimore
218,-76.39306504727429,39.343867012833506,Baltimore
219,-76.82645881916635,39.463508333700304,Baltimore
222,-76.62397296660475,39.24793857118598,Baltimore City
223,-76.4583664796488,39.11253418924203,Anne Arundel
225,-76.4621837437862,39.11081395426434,Anne Arundel
226,-76.42135141004474,39.290503288836206,Baltimore
227,-76.44897449813189,39.22140939432485,Baltimore
230,-76.60156129294165,39.35487948001537,Baltimore City
234,-76.24833738381491,39.47534648233365,Harford
235,-75.98054011679938,39.14735938396997,Queen Anne's
236,-76.77950700540259,39.368990816704,Baltimore
238,-76.24499938615294,39.561259080825074,Harford
239,-76.59728556012426,39.29009888416604,Baltimore City
240,-76.55374788881923,39.30117020109637,Baltimore City
243,-76.92939467988887,39.21917503269706,Howard
244,-76.9234526036605,39.19052376592568,Howard
249,-76.87315996343995,39.19416595972756,Howard
254,-76.62954014262739,39.47275412769348,Baltimore
258,-76.60262175503287,39.32143732629739,Baltimore City
259,-76.51832661737882,39.29449180118085,Baltimore
261,-76.58696787908012,39.3074598790764,Baltimore City
263,-76.58779209143815,39.29360698177013,Baltimore City
269,-76.63420784992914,39.1544545780969,Anne Arundel
270,-76.84281928207379,39.19203557071582,Howard
271,-76.9778208302565,39.57391231494721,Carroll
277,-76.68832374425341,39.0135715991864,Anne Arundel
278,-76.67003518323419,39.01631976810005,Anne Arundel
279,-76.67028063890244,38.997187185176436,Anne Arundel
280,-76.69396617574067,38.99762840193807,Anne Arundel
281,-76.58117310410046,39.40355342683097,Baltimore
282,-76.68776090391381,39.36245018185553,Baltimore City
284,-76.5925889037142,39.22538461117181,Baltimore City
285,-76.61362250873084,39.31314048327141,Baltimore City
290,-76.20085118025493,39.63705351674045,Harford
292,-76.63833406894727,38.918929822761115,Anne Arundel
293,-76.98360667598226,39.24093635224081,Howard
295,-76.5502780669826,38.77872327168739,Anne Arundel
296,-76.45490553226881,39.30818832926639,Baltimore
297,-76.45467238801156,39.29336453034276,Baltimore
298,-76.78665577867068,39.18465366874869,Howard
300,-76.8178959287578,39.38942867379397,Baltimore
301,-76.81870480777222,39.38820382312024,Baltimore
302,-76.29080210734456,39.42346812470583,Harford
307,-76.70362302372246,39.31147733220899,Baltimore City
308,-76.63847726130187,39.28171573520096,Baltimore City
309,-76.60707739165558,39.27550762990507,Baltimore City
312,-76.76322279598803,39.320155308819906,Baltimore
318,-76.59843242577276,39.306712412099344,Baltimore City
319,-76.6221962130588,39.251745873000814,Baltimore City
324,-76.65662512458803,39.33342498816521,Baltimore City
325,-76.66759842756755,39.33095998998464,Baltimore City
326,-76.65803635723812,39.34560311669455,Baltimore City
331,-76.26558921892766,39.64866224706128,Harford
332,-76.74578584414638,39.20140414128745,Howard
334,-76.61094898590137,39.46007137493355,Baltimore
335,-76.61168581643676,39.38112549779019,Baltimore
336,-76.5190856596579,39.258353409119344,Baltimore
337,-76.51568073032075,39.268778438078996,Baltimore
338,-76.51369074187917,39.25951955386692,Baltimore
339,-76.83199382921363,39.256437196323866,Howard
349,-76.47309837330293,39.324950974747054,Baltimore
354,-76.48319583235518,38.96999067223204,Anne Arundel
