id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category
472,288,1,2,1000,60,,2
473,289,1,2,1000,60,,2
474,290,1,2,1000,60,,2
475,291,1,2,1000,60,,2
476,292,1,2,1000,60,,2
477,293,1,2,1000,60,,2
478,294,1,2,1000,60,,2
479,295,1,2,1000,60,,2
480,296,1,2,1000,60,,2
481,297,1,2,1000,60,,2
482,298,1,2,1000,60,,2
483,299,1,2,1000,60,,2
484,300,1,2,1000,60,,2
485,301,1,2,1000,60,,2
486,302,1,2,1000,60,,2
487,303,1,2,1000,60,,2
488,304,1,2,1000,60,,2
489,305,1,2,1000,60,,2
490,306,1,2,1000,60,,2
491,307,1,2,1000,60,,2
492,308,1,2,1000,60,,2
493,309,1,2,1000,60,,2
494,310,1,2,1000,60,,2
495,311,1,2,1000,60,,2
496,311,2,2,1000,60,,2
497,311,3,2,1000,60,,2
498,311,4,2,1000,60,,2
499,311,5,2,1000,60,,2
500,312,1,2,1000,60,,2
501,313,1,2,1000,60,,2
502,314,1,2,1000,60,,2
503,315,1,2,1000,60,,2
504,316,1,2,1000,60,,2
505,317,1,2,1000,60,,2
506,318,1,2,1000,60,,2
507,319,1,2,1000,60,,2
508,320,1,2,1000,60,,2
509,321,1,2,1000,60,,2
510,322,1,2,1000,60,,2
511,323,1,2,1000,60,,2
512,323,2,2,1000,60,,2
513,324,1,2,1000,60,,2
514,324,2,2,1000,60,,2
515,325,1,2,1000,60,,2
516,326,1,2,1000,60,,2
517,327,1,2,1000,60,,2
518,328,1,2,1000,60,,2
519,329,1,2,1000,60,,2
520,330,1,2,1000,60,,2
521,331,1,2,1000,60,,2
522,332,1,2,1000,60,,2
523,333,1,2,1000,60,,2
524,334,1,2,1000,60,,2
525,335,1,2,1000,60,,2
526,336,1,2,1000,60,,2
527,337,1,2,1000,60,,2
528,338,1,2,1000,60,,2
529,339,1,2,1000,60,,2
530,340,1,2,1000,60,,2
531,341,1,2,1000,60,,2
532,342,1,2,1000,60,,2
533,343,1,2,1000,60,,2
534,344,1,2,1000,60,,2
535,345,1,2,1000,60,,2
536,346,1,2,1000,60,,2
