id,from_segment,to_segment,from_lane,to_lane,is_true_connector,tags
275,66178,66179,6617800,6617900,,
276,66179,66176,6617900,6617600,,
249,66181,66180,6618100,6618000,,
100,66207,66209,6620700,6620900,,
99,66208,66207,6620800,6620700,,
101,66209,68781,6620900,6878100,,
243,68458,68459,6845800,6845900,,
244,68459,68461,6845900,6846100,,
246,68460,68464,6846000,6846400,,
245,68461,68460,6846100,6846000,,
248,68462,68463,6846200,6846300,,
247,68464,68462,6846400,6846200,,
242,68465,68458,6846500,6845800,,
102,68781,68782,6878100,6878200,,
103,68782,60768,6878200,6076800,,
8,68832,68831,6883200,6883100,,
233,68833,68834,6883300,6883400,,
88,68835,68838,6883500,6883800,,
87,68836,68835,6883600,6883500,,
89,68838,68840,6883800,6884000,,
91,68839,68837,6883900,6883700,,
90,68840,68839,6884000,6883900,,
97,68842,68843,6884200,6884300,,
98,68843,68841,6884300,6884100,,
147,68845,68846,6884500,6884600,,
12,69813,69816,6981300,6981600,,
15,69814,69811,6981400,6981100,,
14,69815,69814,6981500,6981400,,
13,69816,69815,6981600,6981500,,
231,87619,64551,8761900,6455100,,
207,111392,111391,11139200,11139100,,
205,111393,111394,11139300,11139400,,
206,111394,111392,11139400,11139200,,
41,119178,119179,11917800,11917900,,
42,119179,119180,11917900,11918000,,
6,119267,119271,11926700,11927100,,
4,119268,119269,11926800,11926900,,
5,119269,119267,11926900,11926700,,
3,119270,119268,11927000,11926800,,
7,119271,119272,11927100,11927200,,
40,119273,119178,11927300,11917800,,
39,119274,119273,11927400,11927300,,
31,120020,120022,12002000,12002200,,
32,120022,120026,12002200,12002600,,
33,120026,120027,12002600,12002700,,
34,120027,120029,12002700,12002900,,
36,120028,138684,12002800,13868400,,
35,120029,120028,12002900,12002800,,
268,133283,141297,13328300,14129700,,
105,133284,60770,13328400,6077000,,
266,133285,60769,13328500,6076900,,
259,133536,133537,13353600,13353700,,
260,133537,138689,13353700,13868900,,
309,137055,137053,13705500,13705300,,
257,137056,137057,13705600,13705700,,
258,137057,137059,13705700,13705900,,
256,137058,137056,13705800,13705600,,
255,137060,137058,13706000,13705800,,
253,137061,137063,13706100,13706300,,
251,137062,137064,13706200,13706400,,
254,137063,137060,13706300,13706000,,
252,137064,137061,13706400,13706100,,
196,137066,160134,13706600,16013400,,
195,137067,137066,13706700,13706600,,
199,137068,137071,13706800,13707100,,
198,137069,137068,13706900,13706800,,
202,137070,137065,13707000,13706500,,
200,137071,137072,13707100,13707200,,
201,137072,137070,13707200,13707000,,
299,138611,138614,13861100,13861400,,
294,138612,138618,13861200,13861800,,
290,138613,138615,13861300,13861500,,
300,138614,111404,13861400,11140400,,
291,138615,138616,13861500,13861600,,
292,138616,138621,13861600,13862100,,
297,138617,138619,13861700,13861900,,
295,138618,138620,13861800,13862000,,
298,138619,138611,13861900,13861100,,
296,138620,138617,13862000,13861700,,
293,138621,138612,13862100,13861200,,
289,138622,138613,13862200,13861300,,
95,138623,138625,13862300,13862500,,
92,138624,138628,13862400,13862800,,
96,138625,138626,13862500,13862600,,
94,138627,138623,13862700,13862300,,
93,138628,138627,13862800,13862700,,
22,138682,138681,13868200,13868100,,
21,138683,138682,13868300,13868200,,
37,138684,138686,13868400,13868600,,
38,138686,138685,13868600,13868500,,
1,138687,138688,13868700,13868800,,
261,138689,138691,13868900,13869100,,
265,138690,138692,13869000,13869200,,
262,138691,138694,13869100,13869400,,
264,138693,138690,13869300,13869000,,
263,138694,138693,13869400,13869300,,
106,138695,138696,13869500,13869600,,
272,138722,138723,13872200,13872300,,
271,138724,138722,13872400,13872200,,
307,140973,140980,14097300,14098000,,
306,140974,140973,14097400,14097300,,
304,140975,140976,14097500,14097600,,
305,140976,140974,14097600,14097400,,
302,140977,140979,14097700,14097900,,
301,140978,140977,14097800,14097700,,
303,140979,140975,14097900,14097500,,
308,140980,137055,14098000,13705500,,
250,141031,137062,14103100,13706200,,
270,141296,138724,14129600,13872400,,
269,141297,141296,14129700,14129600,,
2,141346,141347,14134600,14134700,,
234,141349,141348,14134900,14134800,,
152,141350,141351,14135000,14135100,,
153,141351,141361,14135100,14136100,,
148,141352,141354,14135200,14135400,,
151,141353,141350,14135300,14135000,,
149,141354,141355,14135400,14135500,,
150,141355,141353,14135500,14135300,,
203,141356,141358,14135600,14135800,,
204,141358,141357,14135800,14135700,,
154,141361,141360,14136100,14136000,,
16,142326,142329,14232600,14232900,,
20,142328,138683,14232800,13868300,,
17,142329,142330,14232900,14233000,,
18,142330,142331,14233000,14233100,,
19,142331,142328,14233100,14232800,,
197,160134,137069,16013400,13706900,,
108,161843,161845,16184300,16184500,,
110,161843,161845,16184301,16184501,,
120,161844,161847,16184400,16184700,,
122,161844,161847,16184401,16184701,,
112,161845,161846,16184500,16184600,,
114,161845,161846,16184501,16184601,,
116,161846,161844,16184600,16184400,,
118,161846,161844,16184601,16184401,,
124,161847,161848,16184700,16184800,,
126,161847,161848,16184701,16184801,,
128,161848,161849,16184800,16184900,,
130,161848,161849,16184801,16184901,,
132,161849,162249,16184900,16224900,,
134,161849,162249,16184901,16224901,,
76,161886,161888,16188600,16188800,,
78,161886,161888,16188601,16188801,,
80,161888,161887,16188800,16188700,,
82,161888,161887,16188801,16188701,,
72,161889,161886,16188900,16188600,,
74,161889,161886,16188901,16188601,,
52,162026,162028,16202600,16202800,,
54,162026,162028,16202601,16202801,,
48,162027,162026,16202700,16202600,,
50,162027,162026,16202701,16202601,,
56,162028,162025,16202800,16202500,,
58,162028,162025,16202801,16202501,,
136,162249,162250,16224900,16225000,,
138,162249,162250,16224901,16225001,,
140,162250,162251,16225000,16225100,,
142,162250,162251,16225001,16225101,,
144,162251,162252,16225100,16225200,,
146,162251,162252,16225101,16225201,,
184,163720,163722,16372000,16372200,,
186,163720,163722,16372001,16372201,,
192,163721,163719,16372100,16371900,,
194,163721,163719,16372101,16371901,,
188,163722,163721,16372200,16372100,,
190,163722,163721,16372201,16372101,,
180,163723,163720,16372300,16372000,,
182,163723,163720,16372301,16372001,,
176,163724,163723,16372400,16372300,,
178,163724,163723,16372401,16372301,,
172,163725,163724,16372500,16372400,,
174,163725,163724,16372501,16372401,,
68,163762,163765,16376200,16376500,,
70,163762,163765,16376201,16376501,,
60,163763,163764,16376300,16376400,,
62,163763,163764,16376301,16376401,,
64,163764,163762,16376400,16376200,,
66,163764,163762,16376401,16376201,,
311,163901,163904,16390100,16390400,,
313,163901,163904,16390101,16390401,,
319,163902,163903,16390200,16390300,,
321,163902,163903,16390201,16390301,,
315,163904,163902,16390400,16390200,,
317,163904,163902,16390401,16390201,,
168,164125,163725,16412500,16372500,,
170,164125,163725,16412501,16372501,,
164,164126,164125,16412600,16412500,,
166,164126,164125,16412601,16412501,,
160,164127,164126,16412700,16412600,,
162,164127,164126,16412701,16412601,,
156,164128,164127,16412800,16412700,,
158,164128,164127,16412801,16412701,,
