shapeid,id,x,y,z,seq_id
64540,64540,235270.7004,890393.5549,0,4
64540,64540,235283.6188,890444.6111,0,5
64540,64540,235294.1155,890480.0379,0,6
64540,64540,235307.8691,890512.0625,0,7
64540,64540,235321.6463,890535.2373,0,8
64540,64540,235331.91,890549.2013,0,9
64540,64540,235339.90899999999,890559.3421,0,10
64541,64541,235818.8025,890693.3499,0,1
64541,64541,235827.5241,890683.6709,0,2
64541,64541,235831.0536,890679.8573,0,3
64541,64541,235875.8119,890640.7962,0,4
64541,64541,235916.5768,890605.207,0,5
64541,64541,235936.9225,890583.1645,0,6
64541,64541,235949.2523,890570.4579,0,7
64541,64541,235954.8163,890562.3881,0,8
64541,64541,235959.72445,890555.2486,0,9
64542,64542,235758.5134,890781.3233,0,1
64542,64542,235763.9143,890769.3859,0,2
64542,64542,235766.1381,890765.1014,0,3
64542,64542,235769.6332,890759.6539,0,4
64542,64542,235777.4788,890748.6483,0,5
64542,64542,235787.0173,890735.3911,0,6
64542,64542,235804.7847,890709.0662,0,7
64542,64542,235810.0809,890703.0289,0,8
64542,64542,235818.8025,890693.3499,0,9
64543,64543,235959.72445,890555.2486,0,1
64543,64543,235964.6326,890548.1091,0,2
64543,64543,235976.0379,890531.3728,0,3
64543,64543,235980.93855,890524.2165999999,0,4
64544,64544,235694.6046,891009.5097,0,1
64544,64544,235713.0559,890938.2363,0,2
64544,64544,235724.5046,890893.1974,0,3
64544,64544,235737.5544,890842.8104,0,4
64544,64544,235746.9177,890809.1853,0,5
64544,64544,235753.1125,890793.2607,0,6
64544,64544,235758.5134,890781.3233,0,7
64545,64545,235980.93855,890524.2165999999,0,1
64545,64545,235985.8392,890517.0604,0,2
64545,64545,235988.1881,890513.636,0,3
64545,64545,236010.6235,890486.7446,0,4
64545,64545,236021.6659,890474.8009,0,5
64545,64545,236030.62175,890465.34225,0,6
64546,64546,236178.398,890334.81545,0,1
64546,64546,236188.7152,890326.8623,0,2
64546,64546,236210.7328,890310.3194,0,3
64546,64546,236218.6301,890305.7514,0,4
64546,64546,236230.56795,890300.2339999999,0,5
64547,64547,236367.2303,890251.56975,0,1
64547,64547,236375.7039,890248.0068,0,2
64547,64547,236389.5408,890242.2341,0,3
64547,64547,236398.0077,890237.3061,0,4
64547,64547,236406.04885,890232.80695,0,5
64548,64548,236030.62175,890465.34225,0,1
64548,64548,236039.5776,890455.8836,0,2
64548,64548,236040.1191,890455.3251,0,3
64548,64548,236117.2832,890385.7842,0,4
64548,64548,236160.1001,890349.0794,0,5
64548,64548,236168.0808,890342.7686,0,6
64548,64548,236178.398,890334.81545,0,7
64549,64549,236230.56795,890300.2339999999,0,1
64549,64549,236242.5058,890294.7166,0,2
64549,64549,236331.9913,890262.9161,0,3
64549,64549,236358.371,890255.2953,0,4
64549,64549,236358.7567,890255.1327,0,5
64549,64549,236367.2303,890251.56975,0,6
64550,64550,234101.6258,890651.2752,0,1
64550,64550,234151.8061,890679.1399,0,2
64550,64550,234169.4162,890688.8901,0,3
64550,64550,234190.8132,890700.824,0,4
64550,64550,234202.20059999998,890707.05705,0,5
64551,64551,234615.00325,890929.6318999999,0,1
64551,64551,234626.852,890934.9556,0,2
64551,64551,234632.1047,890937.2875,0,3
64551,64551,234655.7799,890945.9121,0,4
64551,64551,234672.8791,890951.1987,0,5
64551,64551,234685.31329999998,890954.9201,0,6
64552,64552,234685.31329999998,890954.9201,0,1
64552,64552,234697.7475,890958.6415,0,2
64552,64552,234719.6087,890964.9695,0,3
64552,64552,234774.8073,890980.682,0,4
64552,64552,234809.0251,890990.6344,0,5
64552,64552,234835.3011,890998.8983,0,6
64552,64552,234860.2566,891008.2735,0,7
64552,64552,234974.3835,891054.831,0,8
64552,64552,235011.6648,891069.4175,0,9
64552,64552,235030.5832,891075.0953,0,10
64552,64552,235062.586,891078.8935,0,11
64552,64552,235123.3393,891083.8599,0,12
64552,64552,235201.5348,891091.4954,0,13
64553,64553,234383.20604999998,890807.41825,0,1
64553,64553,234394.4717,890813.8413,0,2
64553,64553,234429.5534,890833.2128,0,3
64553,64553,234440.94155,890839.4739999999,0,4
64554,64554,234440.94155,890839.4739999999,0,1
64554,64554,234452.3297,890845.7352,0,2
64554,64554,234537.7639,890892.503,0,3
64554,64554,234549.1888,890898.6616,0,4
64554,64554,234560.73105,890904.4639,0,5
64555,64555,234202.20059999998,890707.05705,0,1
64555,64555,234213.588,890713.2901,0,2
64555,64555,234271.2421,890744.2553,0,3
64555,64555,234282.68654999998,890750.43095,0,4
64556,64556,234324.17859999998,890773.15705,0,1
64556,64556,234335.5293,890779.5708,0,2
64556,64556,234371.9404,890800.9952,0,3
64556,64556,234383.20604999998,890807.41825,0,4
64557,64557,234282.68654999998,890750.43095,0,1
64557,64557,234294.131,890756.6066,0,2
64557,64557,234312.8279,890766.7433,0,3
64557,64557,234324.17859999998,890773.15705,0,4
66005,66005,235077.9175,892062.7334,0,1
66005,66005,235069.6342,892095.7315,0,2
66005,66005,235060.0655,892132.2003,0,3
66096,66096,234226.10625,891250.38385,0,1
66096,66096,234233.7042,891252.3154,0,2
66096,66096,234259.3041,891258.6484,0,3
66096,66096,234271.9189,891261.83315,0,4
66097,66097,234530.5605,891289.5227000001,0,1
66097,66097,234543.5783,891290.2251,0,2
66097,66097,234554.5068,891291.0032,0,3
66097,66097,234563.57715,891291.7391,0,4
66098,66098,234671.90375,891304.88515,0,1
66098,66098,234684.7052,891307.4171,0,2
66098,66098,234710.9565,891313.2562,0,3
66098,66098,234728.5351,891319.3851,0,4
66098,66098,234736.9382,891322.2416999999,0,5
66099,66099,234198.67095,891242.4508,0,1
66099,66099,234206.1099,891244.8931,0,2
66099,66099,234218.5083,891248.4523,0,3
66099,66099,234226.10625,891250.38385,0,4
66100,66100,234638.78605,891299.0734999999,0,1
66100,66100,234647.7936,891300.3925,0,2
66100,66100,234659.1023,891302.3532,0,3
66100,66100,234671.90375,891304.88515,0,4
66101,66101,234601.44225,891295.4657000001,0,1
66101,66101,234606.4576,891295.9292,0,2
66101,66101,234629.7785,891297.7545,0,3
66101,66101,234638.78605,891299.0734999999,0,4
66102,66102,234338.7845,891278.2915,0,1
66102,66102,234351.3931,891280.8403,0,2
66102,66102,234377.3524,891284.6803,0,3
66102,66102,234406.6776,891288.7968,0,4
66102,66102,234426.8308,891288.3581,0,5
66102,66102,234435.26075000002,891288.1761,0,6
66103,66103,234470.1811,891287.6794,0,1
66103,66103,234478.6525,891287.7429,0,2
66103,66103,234495.6211,891288.0149,0,3
66103,66103,234517.5427,891288.8203,0,4
66103,66103,234530.5605,891289.5227000001,0,5
66104,66104,234271.9189,891261.83315,0,1
66104,66104,234284.5337,891265.0179,0,2
66104,66104,234326.1759,891275.7427,0,3
66104,66104,234338.7845,891278.2915,0,4
66105,66105,234435.26075000002,891288.1761,0,1
66105,66105,234443.6907,891287.9941,0,2
66105,66105,234461.7097,891287.6159,0,3
66105,66105,234470.1811,891287.6794,0,4
66106,66106,234563.57715,891291.7391,0,1
66106,66106,234572.6475,891292.475,0,2
66106,66106,234596.4269,891295.0022,0,3
66106,66106,234601.44225,891295.4657000001,0,4
66107,66107,234736.9382,891322.2416999999,0,1
66107,66107,234745.3413,891325.0983,0,2
66107,66107,234762.3628,891330.4863,0,3
66107,66107,234766.6415,891331.2867,0,4
66108,66108,234875.52895,891314.8524,0,1
66108,66108,234888.5123,891313.2761,0,2
66108,66108,234896.1403,891312.6543,0,3
66108,66108,234918.5585,891311.536,0,4
66108,66108,234941.134,891312.4875,0,5
66108,66108,234954.0855,891312.5507,0,6
66109,66109,235153.82364999998,891286.8278999999,0,1
66109,66109,235161.7946,891288.617,0,2
66109,66109,235173.0313,891293.4161,0,3
66110,66110,234822.2907,891326.4190499999,0,1
66110,66110,234834.8688,891323.2675,0,2
66110,66110,234857.2684,891317.2819,0,3
66110,66110,234862.5456,891316.4287,0,4
66110,66110,234875.52895,891314.8524,0,5
66111,66111,234784.038,891332.6214,0,1
66111,66111,234784.6223,891332.6432,0,2
66111,66111,234801.4826,891331.5265,0,3
66111,66111,234809.7126,891329.5706,0,4
66111,66111,234822.2907,891326.4190499999,0,5
66112,66112,234954.0855,891312.5507,0,1
66112,66112,234967.037,891312.6139,0,2
66112,66112,234980.698,891312.6252,0,3
66112,66112,235006.1943,891309.2333,0,4
66112,66112,235035.1779,891302.4012,0,5
66112,66112,235046.5252,891299.9403,0,6
66112,66112,235059.336,891297.4650000001,0,7
66113,66113,235059.336,891297.4650000001,0,1
66113,66113,235072.1468,891294.9897,0,2
66113,66113,235092.9541,891291.4572,0,3
66113,66113,235118.2534,891285.6708,0,4
66113,66113,235135.0661,891284.5102,0,5
66113,66113,235145.8527,891285.0388,0,6
