stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
S126,11974,HARPERS FERRY W VA MARC wb,,39.324586,-77.730548,,,,,0
S127,11975,DUFFIELFS W VA MARC wb,,39.362352,-77.82666,,,,,0
S139,11976,PERRYVILLE MARC,,39.558089,-76.07318000000001,,,,,0
S140,11977,ABERDEEN MARC sb,,39.509165,-76.162681,,,,,0
S141,11978,EDGEWOOD MARC sb,,39.416022,-76.292185,,,,,0
S130,11979,MARTIN AIRPORT MARC sb,,39.338324,-76.41930699999999,,,,,0
S131,11980,PENN STATION MARC sb,,39.307177,-76.615903,,,,,0
S136,11981,WEST BALTIMORE MARC sb,,39.29338,-76.653171,,,,,0
S137,11982,HALETHORPE MARC sb,,39.238781,-76.691288,,,,,0
S132,11984,BWI RAIL STATION MARC sb,,39.19228,-76.694726,,,,,0
S133,11985,ODENTON MARC sb,,39.086896,-76.706191,,,,,0
S134,11986,BOWIE STATE MARC sb,,39.0209,-76.76207099999999,,,,,0
S138,11987,SEABROOK MARC sb,,38.973499,-76.84281800000001,,,,,0
S135,11988,NEW CARROLLTON MARC sb,,38.947023,-76.87321,,,,,0
S142,11989,NEW CARROLLTON MARC nb,,38.946969,-76.873141,,,,,0
S143,11990,SEABROOK MARC nb,,38.973444,-76.842772,,,,,0
S144,11991,BOWIE STATE MARC nb,,39.020792,-76.762049,,,,,0
S145,11992,ODENTON MARC nb,,39.086859999999994,-76.706099,,,,,0
S146,11993,BWI RAIL STATION MARC nb,,39.192327,-76.69456,,,,,0
S147,11994,HALETHORPE MARC nb,,39.23878,-76.69119599999999,,,,,0
S148,11995,WEST BALTIMORE MARC nb,,39.293344,-76.653102,,,,,0
S149,12002,PENN STATION MARC nb,,39.307177,-76.615903,,,,,0
S150,12003,MARTIN AIRPORT MARC nb,,39.338324,-76.41930699999999,,,,,0
S151,12004,EDGEWOOD MARC nb,,39.415966999999995,-76.292139,,,,,0
S152,12005,ABERDEEN MARC nb,,39.509146,-76.162588,,,,,0
S153,12006,CAMDEN STATION MARC,,39.283877000000004,-76.619664,,,,,0
S154,12007,ST DENIS MARC sb,,39.224119,-76.704841,,,,,0
S155,12008,DORSEY MARC sb,,39.181304,-76.745189,,,,,0
S162,12009,JESSUP MARC sb,,39.151561,-76.776402,,,,,0
S156,12010,SAVAGE MARC sb,,39.122927000000004,-76.796374,,,,,0
S163,12011,LAUREL RACETRACK MARC sb,,39.105464000000005,-76.834411,,,,,0
S157,12012,LAUREL MARC sb,,39.101872,-76.842178,,,,,0
S158,12013,MUIRKIRK MARC sb,,39.06208,-76.88504,,,,,0
S159,12014,GREENBELT MARC sb,,39.010227,-76.91219699999999,,,,,0
S161,12015,COLLEGE PARK MARC sb,,38.976159,-76.92948100000001,,,,,0
S160,12016,RIVERDALE MARC sb,,38.962925,-76.934956,,,,,0
S164,12017,RIVERDALE MARC nb,,38.962906,-76.934863,,,,,0
S165,12018,COLLEGE PARK MARC nb,,38.976141,-76.929389,,,,,0
S166,12019,GREENBELT MARC nb,,39.010191999999996,-76.912127,,,,,0
S167,12020,MUIRKIRK MARC nb,,39.062044,-76.884971,,,,,0
S168,12021,LAUREL MARC nb,,39.101817,-76.842109,,,,,0
S169,12023,SAVAGE MARC nb,,39.122855,-76.796351,,,,,0
S172,12024,JESSUP MARC nb,,39.151525,-76.776332,,,,,0
S170,12025,DORSEY MARC nb,,39.181267999999996,-76.745121,,,,,0
S171,12026,ST DENIS MARC nb,,39.224047,-76.704818,,,,,0
