X,Y,OBJECTID,ARC_Street,ARC_City,ARC_State,ARC_ZIP,PSC_NUMBER,School_Type,County,School_Name,Grades
-76.942114727293969,38.790835403858281,1423,7302 Webster Lane,Fort Washington,MD,20744,16.019,Elementary,Prince George's,Avalon Elementary School,PreK-6
-76.77035853829463,38.660734753256925,1424,13601 Baden-Wood Road,Brandywine,MD,20613,16.228,Elementary,Prince George's,Baden Elementary School,PreK-6
-76.074235499572609,39.60626225876247,1425,41 Preston Drive,Port Deposit,MD,21904,7.034,Elementary,Cecil,Bainbridge Elementary School,PreK-5
-77.218799200790144,39.274044331813833,1426,25400 Oak Drive,Damascus,MD,20872,15.182,Middle,Montgomery,Baker (John T.) Middle School,6-8
-76.169905241898135,39.512919322905574,1427,36 Baker Street,Aberdeen,MD,21001,12.044,Elementary,Harford,Bakerfield Elementary School,PreK-5
-77.43060017141967,39.377805306080361,1428,5250 Kingsbrook Drive,Frederick,MD,21703,10.043,Elementary,Frederick,Ballenger Creek Elementary School,PreK-5
-77.440959668141957,39.385751788301519,1429,5525 Ballenger Creek Pike,Frederick,MD,21703,10.041,Middle,Frederick,Ballenger Creek Middle School,6-8
-76.595344152573261,39.327599361867655,1430,3220 The Alameda,Baltimore,MD,21218,30.11,High,Baltimore City,Baltimore City College # 480,9-12
-76.642138522210402,39.236991826210634,1431,4200 Annapolis Road,Baltimore,MD,21227,3.1,Elementary,Baltimore,Baltimore Highlands Elementary School,PreK-5
-76.643405786361498,39.347026150173718,1432,1400 West Cold Spring Lane,Baltimore,MD,21209,30.185,High,Baltimore City,Baltimore Polytechnic Institute # 403,9-12
-76.617404778996359,39.298143105812983,1433,712 Cathedral Street,Baltimore,MD,21202,30.178,High,Baltimore City,Baltimore School for the Arts # 415,9-12
-76.948270420201979,39.095806623225279,1434,14800 Perrywood Drive,Burtonsville,MD,20866,15.022,Middle,Montgomery,Banneker (Benjamin) Middle School,6-8
-77.138293652874538,38.974189021835784,1435,6520 Dalroy Lane,Bethesda,MD,20817,15.204,Elementary,Montgomery,Bannockburn Elementary School,K-5
-76.786115510299268,38.834147542268802,1436,12700 Brooke Lane,Upper Marlboro,MD,20772,16.235,Elementary,Prince George's,Barack Obama Elementary School,PreK-5
-77.720412464577876,39.641935561296961,1437,7-11 South Potomac Street,Hagerstown,MD,21740,21.053,High,Washington,Barbara Ingram School for the Arts,9-12
-76.611370482619208,39.323695491762571,1438,2900 Barclay Street,Baltimore,MD,21218,30.26,PreK-8,Baltimore City,Barclay Elementary/Middle School # 054,PreK-8
-76.965182076791351,38.816605925088567,1439,2411 Owens Road,Oxon Hill,MD,20745,16.123,Elementary,Prince George's,Barnaby Manor Elementary School,PreK-5
-77.104570773141162,39.093834359174373,1440,14516 Nadine Drive,Rockville,MD,20853,15.225,Elementary,Montgomery,Barnsley (Lucy V.) Elementary School,PreK-5
-76.609525772420341,38.541609997128909,1441,295 Williams Road,Prince Frederick,MD,20678,4.028,Elementary,Calvert,Barstow Elementary School,PreK-5
-76.505308422724198,38.972277559972348,1442,701 Chase Street,Annapolis,MD,21401,2.037,Middle,Anne Arundel,Bates Middle School,6-8
-76.474794768055133,39.268720261927079,1443,7828 St Patricia Lane,Baltimore,MD,21222,3.116,Elementary,Baltimore,Battle Grove Elementary School,PreK-5
-76.484358004397777,39.273561008952655,1444,7801 East Collingham Drive,Baltimore,MD,21222,3.172,Special Education,Baltimore,Battle Monument School,Sp. Ed.
-76.599577104023552,39.225840320703071,1445,4411 Sixth Street,Baltimore,MD,21225,30.245,Middle,Baltimore City,Bay Brook # 124B 4-8 (formerly Harbor View Special Education) # 304,4-8
-76.599533038963941,39.226525132734821,1446,4301 Tenth Street,Baltimore,MD,21225,30.175,Elementary,Baltimore City,Bay Brook Elementary/Middle School # 124A,PreK-3
-75.956925067168186,39.638488405826983,1447,910 North East Road,North East,MD,21901,7.036,Elementary,Cecil,Bay View Elementary School,PreK-5
-76.307160470889215,38.981940831679786,1448,301 Church Street,Stevensville,MD,21666,17.021,Elementary,Queen Anne's,Bayside Elementary School,3-5
-76.537296475082542,38.6835214391253,1449,7900 Old Bayside Road,Chesapeake Beach,MD,20732,4.011,Elementary,Calvert,Beach Elementary School,PreK-5
-76.898149366285551,38.957643130110768,1450,6929 Furman Parkway,Riverdale,MD,20737,16.189,Elementary,Prince George's,Beacon Heights Elementary School,PreK-6
-78.93192270900083,39.654270221039752,1451,3 East College Avenue,Frostburg,MD,21532,1.002,Elementary,Allegany,Beall Elementary School,PreK-5
-77.161844982307656,39.088528476072945,1452,451 Beall Avenue,Rockville,MD,20850,15.205,Elementary,Montgomery,Beall Elementary School,HS-5
-76.482495955815622,39.268419632792458,1453,1601 Melbourne Road,Baltimore,MD,21222,3.153,Elementary,Baltimore,Bear Creek Elementary School,PreK-5
