id,x,y,z,seq_id
2300,-76.3109269,38.9787288,0,2
2400,-76.3109269,38.9787288,0,1
2400,-76.31035465967139,38.97858615999639,0,2
2500,-76.182740062296716,38.968989320101684,0,1
2500,-76.183115759270706,38.968828065202992,0,2
2501,-76.182728703026015,38.968962854898692,0,1
2501,-76.183104400000005,38.968801599999999,0,2
2502,-76.182717343755314,38.968936389695699,0,1
2502,-76.183093040729304,38.968775134797006,0,2
2600,-76.183114661367853,38.968828509929949,0,1
2600,-76.184799061367855,38.968186209929954,0,2
2601,-76.183104400000005,38.968801599999999,0,1
2601,-76.184788800000007,38.968159300000003,0,2
2602,-76.183094138632157,38.968774690070049,0,1
2602,-76.184778538632159,38.968132390070053,0,2
2700,-76.184798293320426,38.968186490381896,0,1
2700,-76.187270368965201,38.967323383482892,0,2
2701,-76.184788800000007,38.968159300000003,0,1
2701,-76.187260875644782,38.967296193100999,0,2
2702,-76.184779306679587,38.968132109618111,0,1
2702,-76.187251382324362,38.967269002719107,0,2
2800,-76.18273640379527,38.968975811376914,0,1
2800,-76.1832439,38.9688267,0,2
2900,-76.1832439,38.9688267,0,1
2900,-76.183614,38.9687558,0,2
3000,-76.183614,38.9687558,0,1
3000,-76.183952,38.9687224,0,2
3100,-76.183952,38.9687224,0,1
3100,-76.1841826,38.9687558,0,2
3200,-76.1841826,38.9687558,0,1
3200,-76.1843865,38.9688183,0,2
3200,-76.1845528,38.9689184,0,3
3200,-76.18469287968354,38.969058900849156,0,4
3300,-76.187504616821954,38.967241599229268,0,1
3300,-76.190221692978923,38.966292990501124,0,2
3301,-76.187495123843036,38.967214408728147,0,1
3301,-76.190212200000005,38.966265800000002,0,2
3302,-76.187485630864117,38.967187218227025,0,1
3302,-76.190202707021086,38.96623860949888,0,2
3400,-76.190221810448591,38.966292949204004,0,1
3400,-76.191838362089442,38.965720711932263,0,2
3401,-76.190212200000005,38.966265800000002,0,1
3401,-76.191828751640855,38.965693562728262,0,2
3402,-76.190202589551419,38.966238650796001,0,1
3402,-76.191819141192269,38.965666413524261,0,2
3500,-76.047264047432208,38.936518134821142,0,1
3500,-76.043130495409898,38.935790817865836,0,2
3501,-76.047259056612404,38.936546499089474,0,1
3501,-76.043125504590094,38.935819182134168,0,2
3600,-76.043130421490147,38.935790805057749,0,1
3600,-76.042450421490145,38.935674805057751,0,2
3601,-76.043125578509844,38.935819194942255,0,1
3601,-76.042445578509842,38.935703194942256,0,2
3700,-76.042450479479285,38.935674815071998,0,1
3700,-76.042204479479295,38.935631815071993,0,2
3701,-76.042445520520701,38.935703184928009,0,1
3701,-76.042199520520711,38.935660184928004,0,2
3800,-76.042204528732995,38.935631823769562,0,1
3800,-76.042019559954468,38.935598829338801,0,2
3800,-76.041527591150228,38.935508835045347,0,3
3801,-76.042199471267011,38.935660176230435,0,1
3801,-76.042014440046259,38.935627170661327,0,2
3801,-76.041522408849758,38.93553716495466,0,3
3900,-76.041527587774283,38.935508834428212,0,1
3900,-76.038259587774292,38.934911834428206,0,2
3901,-76.041522412225703,38.935537165571795,0,1
3901,-76.038254412225712,38.934940165571788,0,2
4000,-76.038259824072341,38.934911879638264,0,1
4000,-76.038214803256821,38.93490287547516,0,2
4000,-76.036452782425457,38.93455587137273,0,3
4001,-76.038254175927662,38.93494012036173,0,1
4001,-76.038209196743438,38.934931124524887,0,2
4001,-76.036447217574548,38.934584128627272,0,3
4100,-76.036452714500257,38.934555858165311,0,1
4100,-76.035061714500259,38.93428885816531,0,2
4101,-76.036447285499747,38.934584141834691,0,1
4101,-76.035056285499749,38.93431714183469,0,2
4200,-76.035061689155796,38.934288853324027,0,1
4200,-76.033083689155788,38.933912853324024,0,2
