id,x,y,z,traffic_light_id,tags,node_type,osmid
182849318,-76.2557302,38.9705849,0,0,,2,-1
182849344,-76.2637289,38.9696956,0,0,,2,-1
182849432,-76.1576474,38.9905171,0,0,,2,-1
182850363,-76.2899405,38.9753142,0,0,,2,-1
182850688,-76.1698563,38.9396746,0,0,,2,-1
182852399,-76.143363,38.9938589,0,0,,2,-1
182853135,-76.1949195,38.960384,0,0,,2,-1
182853175,-76.0308338,39.028386,0,0,,2,-1
182853768,-76.3717959,38.8393628,0,0,,2,-1
182853914,-76.3494784,38.8869886,0,0,,2,-1
182854609,-76.22492,38.9659696,0,0,,2,-1
182855141,-76.3023011,39.0372352,0,0,,2,-1
182855738,-76.2812891,38.9766675,0,0,,2,-1
182856198,-76.0623807,39.0480481,0,0,,2,-1
182856203,-76.0597392,39.0495063,0,0,,2,-1
182856209,-76.0587593,39.0497136,0,0,,2,-1
182856544,-76.2214331,38.965198,0,0,,2,-1
182858494,-76.2052282,38.9726335,0,0,,2,-1
182859099,-76.0933808,38.9586117,0,0,,2,-1
182859652,-76.2047927,38.9623158,0,0,,2,-1
182859939,-76.1847191,38.9690852,0,0,,3,-1
182859995,-76.1856954,38.9686223,0,0,,2,-1
182859997,-76.1866181,38.9681218,0,0,,2,-1
182860883,-76.3344208,38.8810537,0,0,,2,-1
182861111,-76.3236641,38.9751952,0,0,,2,-1
182861141,-76.3220897,38.9776898,0,0,,3,-1
182866184,-76.1842041,38.9672126,0,0,,2,-1
182866192,-76.1874911,38.9698159,0,0,,2,-1
183161279,-76.062157,38.925456,0,0,,2,-1
183161282,-76.062347,38.925462,0,0,,2,-1
183218562,-76.0619504,38.9057665,0,0,,2,-1
183218566,-76.0617504,38.9057718,0,0,,2,-1
183353712,-76.0612604,38.8720825,0,0,,3,-1
183355429,-76.061791,38.898961,0,0,,2,-1
183355464,-76.0626294,38.9393368,0,0,,2,-1
183357419,-76.0624574,38.9392997,0,0,,2,-1
183357423,-76.0624508,38.9387844,0,0,,3,-1
183358910,-76.061078,38.8720799,0,0,,2,-1
183359061,-76.06161,38.898958,0,0,,2,-1
183387909,-76.080868,38.9411173,0,0,,2,-1
393514549,-76.3157805,38.9845689,0,0,,2,-1
640596433,-76.3114866,38.9765476,0,0,,3,-1
640596451,-76.3090981,38.9759909,0,0,,3,-1
640596455,-76.3093609,38.9762275,0,0,,3,-1
640596459,-76.3104057,38.9769574,0,0,,2,-1
640596463,-76.3114866,38.9767207,0,0,,3,-1
640596475,-76.3213692,38.9795304,0,0,,2,-1
640596487,-76.3266562,38.980065,0,0,,3,-1
640596498,-76.3211774,38.9783273,0,0,,3,-1
640596506,-76.3173687,38.9778925,0,0,,3,-1
640596508,-76.3181868,38.9783419,0,0,,3,-1
640596524,-76.3265661,38.9803055,0,0,,3,-1
640596564,-76.3040408,38.975089,0,0,,3,-1
640615882,-76.2684841,38.974819,0,0,,3,-1
640615889,-76.2697702,38.9746021,0,0,,3,-1
640615927,-76.2753433,38.9494833,0,0,,2,-1
640615933,-76.2810382,38.9759387,0,0,,2,-1
640615951,-76.2821902,38.9757052,0,0,,3,-1
640615970,-76.2706101,38.9744935,0,0,,3,-1
640615989,-76.2693115,38.9739599,0,0,,2,-1
640616002,-76.2676875,38.974037,0,0,,3,-1
640616010,-76.2673696,38.9742237,0,0,,3,-1
640616037,-76.2822022,38.9754769,0,0,,3,-1
640616047,-76.2807029,38.9749775,0,0,,2,-1
640616066,-76.278934,38.9752256,0,0,,3,-1
640616070,-76.2789299,38.9754529,0,0,,3,-1
640616104,-76.2918045,38.9757073,0,0,,3,-1
640616138,-76.2891357,38.9758938,0,0,,3,-1
640616152,-76.2832846,38.9744311,0,0,,2,-1
640616155,-76.2819281,38.9742472,0,0,,2,-1
640616240,-76.2826187,38.9745986,0,0,,2,-1
640616269,-76.2885054,38.9761024,0,0,,3,-1
640616276,-76.2897714,38.9763381,0,0,,2,-1
640616284,-76.2912534,38.9759596,0,0,,2,-1
640616320,-76.2964448,38.9751015,0,0,,3,-1
640616329,-76.2987233,38.9748148,0,0,,3,-1
640616332,-76.300342,38.9747992,0,0,,3,-1
640616364,-76.2974904,38.9750927,0,0,,3,-1
640616439,-76.2874212,38.9783675,0,0,,2,-1
640616505,-76.2827991,38.9744811,0,0,,2,-1
640616543,-76.2948255,38.976468,0,0,,2,-1
640628907,-76.2514984,38.971428,0,0,,2,-1
640628922,-76.255639,38.9706286,0,0,,2,-1
640628982,-76.2541356,38.972274,0,0,,3,-1
640628989,-76.2576252,38.9726431,0,0,,3,-1
640629076,-76.254959,38.9721999,0,0,,3,-1
640629099,-76.2553144,38.9729882,0,0,,2,-1
640629187,-76.2623177,38.972862,0,0,,2,-1
640629199,-76.2609752,38.9729538,0,0,,3,-1
640629235,-76.2584227,38.972533,0,0,,3,-1
640629360,-76.2644851,38.9735174,0,0,,3,-1
640658659,-76.2154466,38.9633791,0,0,,3,-1
640658728,-76.2110154,38.9634962,0,0,,2,-1
640658740,-76.2075876,38.9655567,0,0,,2,-1
640658816,-76.2125389,38.961323,0,0,,3,-1
640658840,-76.2114701,38.9625112,0,0,,3,-1
640658873,-76.2140338,38.9633069,0,0,,3,-1
640658896,-76.2208967,38.9648143,0,0,,3,-1
640658932,-76.2220795,38.965076,0,0,,3,-1
640659189,-76.2219797,38.9648201,0,0,,3,-1
640659239,-76.2206806,38.9645307,0,0,,3,-1
640659271,-76.237931,38.9684056,0,0,,3,-1
640659277,-76.2371653,38.9678134,0,0,,2,-1
640659286,-76.2363534,38.9681752,0,0,,3,-1
640659334,-76.2373052,38.9688863,0,0,,2,-1
640659405,-76.2378895,38.9685214,0,0,,3,-1
640660142,-76.2365083,38.9680747,0,0,,3,-1
640660639,-76.2452734,38.9700804,0,0,,2,-1
640685745,-76.1985514,38.9633585,0,0,,3,-1
640685754,-76.1932487,38.9649532,0,0,,3,-1
640685797,-76.19161,38.9655286,0,0,,3,-1
640685807,-76.1919456,38.9656522,0,0,,3,-1
