id,width,vehicle_mode,bus_lane,can_stop,can_park,high_occ_veh,has_road_shoulder,segment,tags
7600,3,,0,0,0,0,0,76,
7700,3,,0,0,0,0,0,77,
7800,3,,0,0,0,0,0,78,
7900,3,,0,0,0,0,0,79,
8000,3,,0,0,0,0,0,80,
8100,3,,0,0,0,0,0,81,
8200,3,,0,0,0,0,0,82,
8300,3,,0,0,0,0,0,83,
8400,3,,0,0,0,0,0,84,
8500,3,,0,0,0,0,0,85,
8600,3,,0,0,0,0,0,86,
8700,3,,0,0,0,0,0,87,
8800,3,,0,0,0,0,0,88,
8900,3,,0,0,0,0,0,89,
9000,3,,0,0,0,0,0,90,
9100,3,,0,0,0,0,0,91,
9200,3,,0,0,0,0,0,92,
9300,3,,0,0,0,0,0,93,
9400,3,,0,0,0,0,0,94,
9500,3,,0,0,0,0,0,95,
9600,3,,0,0,0,0,0,96,
9700,3,,0,0,0,0,0,97,
9800,3,,0,0,0,0,0,98,
9900,3,,0,0,0,0,0,99,
10000,3,,0,0,0,0,0,100,
10100,3,,0,0,0,0,0,101,
10200,3,,0,0,0,0,0,102,
10300,3,,0,0,0,0,0,103,
10400,3,,0,0,0,0,0,104,
10500,3,,0,0,0,0,0,105,
10600,3,,0,0,0,0,0,106,
10700,3,,0,0,0,0,0,107,
10800,3,,0,0,0,0,0,108,
10900,3,,0,0,0,0,0,109,
11000,3,,0,0,0,0,0,110,
11100,3,,0,0,0,0,0,111,
11200,3,,0,0,0,0,0,112,
11300,3,,0,0,0,0,0,113,
11400,3,,0,0,0,0,0,114,
11500,3,,0,0,0,0,0,115,
11600,3,,0,0,0,0,0,116,
11700,3,,0,0,0,0,0,117,
11800,3,,0,0,0,0,0,118,
11900,3,,0,0,0,0,0,119,
12000,3,,0,0,0,0,0,120,
12100,3,,0,0,0,0,0,121,
12200,3,,0,0,0,0,0,122,
12300,3,,0,0,0,0,0,123,
12400,3,,0,0,0,0,0,124,
12500,3,,0,0,0,0,0,125,
12600,3,,0,0,0,0,0,126,
12700,3,,0,0,0,0,0,127,
12800,3,,0,0,0,0,0,128,
12900,3,,0,0,0,0,0,129,
13000,3,,0,0,0,0,0,130,
13100,3,,0,0,0,0,0,131,
13200,3,,0,0,0,0,0,132,
13300,3,,0,0,0,0,0,133,
13400,3,,0,0,0,0,0,134,
13500,3,,0,0,0,0,0,135,
13600,3,,0,0,0,0,0,136,
13700,3,,0,0,0,0,0,137,
13800,3,,0,0,0,0,0,138,
13900,3,,0,0,0,0,0,139,
14000,3.6,,0,0,0,0,0,140,
14001,3.6,,0,0,0,0,0,140,
14100,3,,0,0,0,0,0,141,
14200,3,,0,0,0,0,0,142,
14300,3,,0,0,0,0,0,143,
14400,3.2,,0,0,0,0,0,144,
14500,3.2,,0,0,0,0,0,145,
14600,3.2,,0,0,0,0,0,146,
14700,3.2,,0,0,0,0,0,147,
14701,3.2,,0,0,0,0,0,147,
14800,3.2,,0,0,0,0,0,148,
14801,3.2,,0,0,0,0,0,148,
14900,3.2,,0,0,0,0,0,149,
14901,3.2,,0,0,0,0,0,149,
15000,3.2,,0,0,0,0,0,150,
