id,x,y,z,seq_id
28,-76.182736403795275,38.968975811376914,0,0
28,-76.1832439,38.9688267,0,1
29,-76.1832439,38.9688267,0,0
29,-76.183614,38.9687558,0,1
30,-76.183614,38.9687558,0,0
30,-76.183952,38.9687224,0,1
31,-76.183952,38.9687224,0,0
31,-76.1841826,38.9687558,0,1
32,-76.1841826,38.9687558,0,0
32,-76.1843865,38.9688183,0,1
32,-76.1845528,38.9689184,0,2
32,-76.184692879683539,38.969058900849156,0,3
33,-76.187495123843036,38.967214408728147,0,0
33,-76.1902122,38.9662658,0,1
34,-76.1902122,38.9662658,0,0
34,-76.191828751640855,38.965693562728262,0,1
35,-76.047261552022306,38.936532316955308,0,0
35,-76.043128,38.935805,0,1
36,-76.043128,38.935805,0,0
36,-76.042448,38.935689,0,1
37,-76.042448,38.935689,0,0
37,-76.042202,38.935646,0,1
38,-76.042202,38.935646,0,0
38,-76.042017,38.935613,0,1
38,-76.041525,38.935523,0,2
39,-76.041525,38.935523,0,0
39,-76.038257,38.934926,0,1
40,-76.038257,38.934926,0,0
40,-76.038212,38.934917,0,1
40,-76.03645,38.93457,0,2
41,-76.03645,38.93457,0,0
41,-76.035059,38.934303,0,1
42,-76.035059,38.934303,0,0
42,-76.033081,38.933927,0,1
43,-76.033081,38.933927,0,0
43,-76.033026,38.933917,0,1
43,-76.031871,38.933705,0,2
44,-76.031871,38.933705,0,0
44,-76.031011,38.933547,0,1
45,-76.031011,38.933547,0,0
45,-76.030925,38.933531,0,1
45,-76.030776,38.933503,0,2
46,-76.030776,38.933503,0,0
46,-76.02952,38.933263,0,1
47,-76.02952,38.933263,0,0
47,-76.029236,38.933205,0,1
48,-76.029236,38.933205,0,0
48,-76.026236,38.932667,0,1
49,-76.026236,38.932667,0,0
49,-76.024943,38.93243,0,1
50,-76.024943,38.93243,0,0
50,-76.02366,38.932182,0,1
51,-76.02366,38.932182,0,0
51,-76.0220226,38.9318825,0,1
52,-76.0220226,38.9318825,0,0
52,-76.012593,38.930143,0,1
53,-76.012593,38.930143,0,0
53,-76.009971050506252,38.929638965346854,0,1
54,-76.047428209319548,38.936562482729109,0,0
54,-76.04835,38.936734,0,1
55,-76.04835,38.936734,0,0
55,-76.0487675,38.9368064,0,1
56,-76.0487675,38.9368064,0,0
56,-76.0499566,38.937017,0,1
57,-76.0499566,38.937017,0,0
57,-76.054568,38.937829,0,1
58,-76.054568,38.937829,0,0
58,-76.0611705,38.9390612,0,1
58,-76.061290768200507,38.939085145467551,0,2
59,-76.371788593251608,38.839395584226345,0,0
59,-76.3717731,38.8394651,0,1
59,-76.3717709,38.8403832,0,2
60,-76.3717709,38.8403832,0,0
60,-76.3717723,38.8407926,0,1
61,-76.3717723,38.8407926,0,0
61,-76.3717736,38.8415521,0,1
62,-76.3717736,38.8415521,0,0
62,-76.3717825,38.8442565,0,1
63,-76.3717825,38.8442565,0,0
63,-76.3717883,38.8447254,0,1
64,-76.3717883,38.8447254,0,0
64,-76.3717736,38.8450001,0,1
65,-76.3717736,38.8450001,0,0
65,-76.371728,38.845279,0,1
66,-76.371728,38.845279,0,0
66,-76.3716336,38.8457763,0,1
67,-76.3716336,38.8457763,0,0
67,-76.3715456,38.8462221,0,1
68,-76.3715456,38.8462221,0,0
68,-76.3714705,38.8465438,0,1
69,-76.3714705,38.8465438,0,0
69,-76.3712398,38.8474661,0,1
70,-76.3712398,38.8474661,0,0
70,-76.3709958,38.8484563,0,1
71,-76.3709958,38.8484563,0,0
71,-76.3709287,38.8486652,0,1
72,-76.3709287,38.8486652,0,0
72,-76.3708549,38.8488459,0,1
73,-76.3708549,38.8488459,0,0
73,-76.3707329,38.8490809,0,1
74,-76.3707329,38.8490809,0,0
74,-76.3697464,38.8507672,0,1
75,-76.3697464,38.8507672,0,0
75,-76.36796,38.853819,0,1
76,-76.36796,38.853819,0,0
76,-76.3677597,38.8541609,0,1
77,-76.3677597,38.8541609,0,0
77,-76.3675813,38.854445,0,1
78,-76.3675813,38.854445,0,0
78,-76.367415,38.8546664,0,1
79,-76.367415,38.8546664,0,0
