id,from_lane,to_lane,group_id,max_speed,tags
20067,627101,623300,1506,55,
20064,627101,623200,1505,55,
16199,627200,17100,38,60,
16200,627200,17101,38,60,
16201,627200,18200,39,60,
19514,627300,552001,1241,60,
19519,627300,552900,1242,60,
19520,627300,552901,1242,60,
19509,627300,551900,1240,60,
19515,627300,552002,1241,60,
19510,627300,551901,1240,60,
19513,627300,552000,1241,60,
19521,627301,552900,1242,60,
19522,627301,552901,1242,60,
19511,627301,551900,1240,60,
19518,627301,552002,1241,60,
19517,627301,552001,1241,60,
19512,627301,551901,1240,60,
19516,627301,552000,1241,60,
19382,629900,549800,1216,60,
19383,629900,549801,1216,60,
19380,629900,549600,1215,60,
19384,629901,549800,1216,60,
19385,629901,549801,1216,60,
19381,629901,549600,1215,60,
20356,630400,636700,1592,60,
20357,630400,636701,1592,60,
20232,630500,631800,1554,60,
20233,630500,631801,1554,60,
20236,630500,631900,1555,60,
20234,630501,631800,1554,60,
20235,630501,631801,1554,60,
20237,630501,631900,1555,60,
20229,630700,631800,1552,60,
20231,630700,631900,1553,60,
20230,630700,631801,1552,60,
19836,630800,574200,1394,60,
19837,630800,574201,1394,60,
19839,630801,574201,1394,60,
19838,630801,574200,1394,60,
19525,631600,553900,1245,60,
19523,631600,553000,1243,60,
19524,631600,553800,1244,60,
18640,631700,394100,905,60,
18641,631700,394900,906,60,
18642,631700,395000,907,60,
20353,631800,636701,1591,60,
20352,631800,636700,1591,60,
20354,631801,636700,1591,60,
20355,631801,636701,1591,60,
19841,631900,574201,1395,60,
19840,631900,574200,1395,60,
17303,632300,224000,465,40,
18710,632400,418500,956,60,
18708,632400,418200,954,60,
18709,632400,418300,955,40,
20076,634700,623700,1510,55,
20077,634700,623701,1510,55,
20078,634700,623702,1510,55,
20081,634701,623702,1510,55,
20080,634701,623701,1510,55,
20079,634701,623700,1510,55,
17244,634800,215200,437,60,
17248,634800,215300,438,60,
17240,634800,215100,436,60,
17249,634800,215301,438,60,
17241,634800,215101,436,60,
17245,634800,215201,437,60,
17246,634801,215200,437,60,
17251,634801,215301,438,60,
17243,634801,215101,436,60,
17250,634801,215300,438,60,
17242,634801,215100,436,60,
17247,634801,215201,437,60,
17536,634900,257001,551,60,
17535,634900,257000,551,60,
17538,634901,257001,551,60,
17537,634901,257000,551,60,
17789,635000,277100,636,60,
17796,635000,277201,637,60,
17797,635000,277202,637,60,
17795,635000,277200,637,60,
17790,635000,277101,636,60,
17792,635001,277101,636,60,
17791,635001,277100,636,60,
17799,635001,277201,637,60,
17798,635001,277200,637,60,
17800,635001,277202,637,60,
17801,635002,277200,637,60,
17802,635002,277201,637,60,
17793,635002,277100,636,60,
17794,635002,277101,636,60,
17803,635002,277202,637,60,
20327,635100,635900,1582,60,
20323,635100,635800,1581,60,
20324,635100,635801,1581,60,
20325,635101,635800,1581,60,
20328,635101,635900,1582,60,
20326,635101,635801,1581,60,
18683,635200,415600,934,60,
18682,635200,415500,933,60,
18684,635200,415601,934,60,
18986,635300,495000,1076,60,
18987,635300,495300,1077,60,
18985,635300,494900,1075,60,
19958,635400,600600,1446,60,
19957,635400,600500,1445,60,
19959,635400,600700,1447,60,
19224,635500,532800,1153,60,
19228,635500,532900,1154,60,
19225,635500,532801,1153,60,
19229,635500,532901,1154,60,
19220,635500,532100,1152,60,
19221,635500,532101,1152,60,
19230,635501,532900,1154,60,
19231,635501,532901,1154,60,
19227,635501,532801,1153,60,
19223,635501,532101,1152,60,
19226,635501,532800,1153,60,
19222,635501,532100,1152,60,
19912,635700,586000,1425,60,
19913,635700,586001,1425,60,
19916,635700,586100,1426,60,
19917,635701,586100,1426,60,
19915,635701,586001,1425,60,
19914,635701,586000,1425,60,
20240,635800,632500,1558,60,
20241,635800,632501,1558,60,
20243,635801,632501,1558,60,
20242,635801,632500,1558,60,
20331,635900,636100,1584,60,
20329,635900,636000,1583,60,
20330,635900,636001,1583,60,
20346,636000,636500,1589,60,
20347,636000,636501,1589,60,
20349,636001,636501,1589,60,
20348,636001,636500,1589,60,
18984,636100,493401,1074,60,
18982,636100,493200,1073,60,
18983,636100,493400,1074,60,
20281,636200,634901,1567,60,
20274,636200,634800,1566,60,
20287,636200,635001,1568,60,
20288,636200,635002,1568,60,
20275,636200,634801,1566,60,
20286,636200,635000,1568,60,
20280,636200,634900,1567,60,
20290,636201,635001,1568,60,
20282,636201,634900,1567,60,
20289,636201,635000,1568,60,
20277,636201,634801,1566,60,
20276,636201,634800,1566,60,
20291,636201,635002,1568,60,
20283,636201,634901,1567,60,
20278,636202,634800,1566,60,
20292,636202,635000,1568,60,
20284,636202,634900,1567,60,
20293,636202,635001,1568,60,
20294,636202,635002,1568,60,
20285,636202,634901,1567,60,
20279,636202,634801,1566,60,
17823,636400,277202,641,60,
17821,636400,277200,641,60,
17819,636400,277100,640,60,
17820,636400,277101,640,60,
17822,636400,277201,641,60,
20217,636600,630600,1544,60,
20219,636600,630800,1545,60,
20220,636600,630801,1545,60,
20222,636601,630801,1545,60,
20221,636601,630800,1545,60,
20218,636601,630600,1544,60,
16581,636700,96200,203,60,
16577,636700,96000,202,60,
16578,636700,96001,202,60,
16580,636701,96001,202,60,
16579,636701,96000,202,60,
16582,636701,96200,203,60,
20183,637600,626600,1534,55,
20185,637600,627000,1535,55,
20186,637600,627001,1535,55,
20184,637601,626600,1534,55,
20188,637601,627001,1535,55,
20187,637601,627000,1535,55,
20370,638300,638400,1595,60,
20371,638300,638401,1595,60,
20374,638300,638500,1596,60,
20375,638301,638500,1596,60,
20372,638301,638400,1595,60,
20373,638301,638401,1595,60,
20336,638400,636100,1586,60,
20333,638400,636001,1585,60,
20332,638400,636000,1585,60,
20335,638401,636001,1585,60,
