id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category,length
5524,558,5,3,1000,60,,1,194.06692573489332
5525,558,6,3,1000,60,,1,259.22202739962182
5526,558,7,3,1000,60,,1,61.852455805560375
5527,558,8,3,1000,60,,1,45.607953837209536
5528,558,9,3,1000,60,,1,47.061361900614507
5529,559,1,2,1000,60,,3,6.480606705719809
5530,560,1,1,1000,60,,4,59.967165371090857
5531,560,2,1,1000,60,,4,36.402340054777397
5532,560,3,1,1000,60,,4,31.388796543527519
5533,560,4,1,1000,60,,4,32.824516996603606
5534,560,5,1,1000,60,,4,76.333402524939473
5535,560,6,1,1000,60,,4,21.500727160495956
5536,560,7,1,1000,60,,4,38.481993280223627
5537,560,8,1,1000,60,,4,43.280819559453548
5538,561,1,1,1000,60,,4,5.625471585413718
5539,562,1,1,1000,60,,4,23.106054801664222
5540,562,2,1,1000,60,,4,32.646925532209458
5541,562,3,1,1000,60,,4,41.054717562340429
5542,562,4,1,1000,60,,4,37.868071032952564
5543,562,5,1,1000,60,,4,43.568448799970369
5544,563,1,2,1000,55,,1,95.26903057094123
5545,564,1,1,1000,60,,6,35.312496952357435
5546,564,2,1,1000,60,,6,79.835674881414604
5547,565,1,2,1000,60,,3,437.57030918626026
5548,565,2,2,1000,60,,3,91.113140294263786
5549,565,3,2,1000,60,,3,81.435124458923895
5550,565,4,2,1000,60,,3,32.460977303805116
5551,565,5,2,1000,60,,3,47.00943395623613
5552,565,6,2,1000,60,,3,80.748877487671166
5553,565,7,2,1000,60,,3,119.08672748855369
5554,565,8,2,1000,60,,3,66.715364075986315
5555,565,9,2,1000,60,,3,68.783717918180486
5556,565,10,2,1000,60,,3,48.697705656747033
5557,565,11,2,1000,60,,3,65.238129888160429
5558,565,12,2,1000,60,,3,124.69189437305879
5559,565,13,2,1000,60,,3,6.5951091884716062
5560,566,1,2,1000,60,,3,56.29912989060571
5561,567,1,2,1000,60,,3,25.359461088704958
5562,567,2,2,1000,60,,3,20.506492839702119
5563,567,3,2,1000,60,,3,19.688976920292781
5564,568,1,1,1000,60,,3,27.582951275467725
5565,568,2,1,1000,60,,3,71.318564977035464
5566,568,3,1,1000,60,,3,39.482412408817176
5567,568,4,1,1000,60,,3,35.89756886876583
5568,569,1,2,1000,40,,3,89.10682684621953
5569,569,2,2,1000,40,,3,38.777725003189062
5570,569,3,2,1000,40,,3,58.408518273602773
5571,569,4,2,1000,40,,3,38.810598562577624
5572,569,5,2,1000,40,,3,24.341267057530928
5573,569,6,2,1000,40,,3,41.564530690269144
5574,570,1,2,1000,40,,3,294.2632578169725
5575,570,2,2,1000,40,,3,336.64675807135097
5576,570,3,2,1000,40,,3,109.2839196922929
5577,570,4,2,1000,40,,3,114.17725399807949
5578,570,5,2,1000,40,,3,25.590824649237998
5579,571,1,1,1000,60,,3,87.78721355000008
5580,572,1,2,1000,60,,3,56.35988354664495
5581,572,2,2,1000,60,,3,60.340336285415837
5582,572,3,2,1000,60,,3,71.56109978281478
5583,573,1,1,1000,60,,4,34.45013281240899
5584,573,2,1,1000,60,,4,33.675994477435431
5585,573,3,1,1000,60,,4,33.932213059906253
5586,573,4,1,1000,60,,4,37.859840859221478
5587,573,5,1,1000,60,,4,57.43763832462423
5588,574,1,1,1000,60,,3,86.1909014994635
5589,575,1,3,1000,55,,1,320.31152616567925
5590,575,2,3,1000,55,,1,97.597225745135304
5591,575,3,3,1000,55,,1,166.62476696618998
5592,576,1,2,1000,60,,3,18.782722644805588
5593,577,1,2,1000,60,,3,21.580089854981733
5594,577,2,2,1000,60,,3,255.6156738723613
5595,577,3,2,1000,60,,3,63.090862613803168
5596,577,4,2,1000,60,,3,103.19750485750434
5597,577,5,2,1000,60,,3,32.236975162169159
5598,577,6,2,1000,60,,3,47.93289871537381
5599,577,7,2,1000,60,,3,73.842396216470647
5600,577,8,2,1000,60,,3,55.304513528499321
5601,577,9,2,1000,60,,3,139.83206050914742
5602,577,10,2,1000,60,,3,32.765517213117299
5603,577,11,2,1000,60,,3,31.342929665108038
5604,577,12,2,1000,60,,3,20.919024942578865
5605,578,1,2,1000,60,,3,18.046933288407377
5606,579,1,1,1000,60,,6,7.855589642754637
5607,580,1,2,1000,60,,3,36.493736222363175
5608,580,2,2,1000,60,,3,22.34056280984951
5609,581,1,2,1000,60,,3,41.958128339316104
5610,581,2,2,1000,60,,3,45.92585932780052
5611,582,1,2,1000,60,,3,15.541725476837259
5612,583,1,1,1000,60,,6,24.238420751802192
5613,583,2,1,1000,60,,6,32.204676564329191
5614,583,3,1,1000,60,,6,22.911521357918744
5615,583,4,1,1000,60,,6,41.858587168745736
5616,584,1,1,1000,60,,4,142.99350411759747
5617,584,2,1,1000,60,,4,92.438206576602198
5618,584,3,1,1000,60,,4,147.4936133491581
5619,584,4,1,1000,60,,4,39.632330874461822
5620,584,5,1,1000,60,,4,22.49789475842358
5621,584,6,1,1000,60,,4,69.565974353146046
5622,584,7,1,1000,60,,4,21.243911025540292
5623,584,8,1,1000,60,,4,58.514190441560231
5624,585,1,1,1000,60,,3,86.1909014994635
5625,586,1,2,1000,40,,3,33.76555775975358
5626,586,2,2,1000,40,,3,21.204419037456564
5627,586,3,2,1000,40,,3,38.431862156233862
5628,586,4,2,1000,40,,3,20.570560701490699
5629,586,5,2,1000,40,,3,23.971149601534094
5630,586,6,2,1000,40,,3,57.850430582283849
5631,586,7,2,1000,40,,3,21.418845391695047
5632,587,1,1,1000,60,,3,27.8363992598379
5633,587,2,1,1000,60,,3,48.040893267730318
5634,587,3,1,1000,60,,3,200.29459371367901
5635,587,4,1,1000,60,,3,103.60927032018502
5636,587,5,1,1000,60,,3,55.15923660359458
5637,588,1,1,1000,60,,3,393.65152225931416
5638,588,2,1,1000,60,,3,22.017039309024838
5639,588,3,1,1000,60,,3,21.376800983420331
5640,588,4,1,1000,60,,3,78.449323025115405
5641,588,5,1,1000,60,,3,85.051114205268561
5642,588,6,1,1000,60,,3,70.148749732540921
5643,588,7,1,1000,60,,3,33.899660215971103
5644,588,8,1,1000,60,,3,148.09763092024039
5645,588,9,1,1000,60,,3,44.009715387805322
5646,588,10,1,1000,60,,3,37.528298778009045
5647,588,11,1,1000,60,,3,56.978513803408362
5648,588,12,1,1000,60,,3,35.745928238855846
5649,588,13,1,1000,60,,3,94.085427064957472
5650,588,14,1,1000,60,,3,96.771854212108664
5651,588,15,1,1000,60,,3,27.459817148800404
5652,588,16,1,1000,60,,3,30.144753924600572
5653,588,17,1,1000,60,,3,34.670711624412661
