id,nodeid,from_link,to_link,phases,rules,visibility,tags
925,182850363,125,419,,,,
924,182850363,125,418,,,,
238,640616037,126,106,,,,
239,640616037,126,107,,,,
343,182822666,127,147,,,,
342,182822666,127,146,,,,
344,182822666,127,148,,,,
227,182855141,128,98,,,,
1143,182843639,129,509,,,,
1145,182843639,129,511,,,,
1144,182843639,129,510,,,,
1018,640616505,130,454,,,,
1019,640616505,130,455,,,,
927,182850363,131,418,,,,
928,182850363,131,419,,,,
929,182850363,131,420,,,,
304,640616155,132,133,,,,
305,640616155,132,134,,,,
367,640616240,133,154,,,,
369,640616240,133,156,,,,
368,640616240,133,155,,,,
1302,1063451563,134,582,,,,
1301,1063451563,134,581,,,,
979,182859099,135,440,,,,
980,182859099,135,441,,,,
698,1037749643,136,314,,,,
699,1037749643,136,315,,,,
700,1037749643,136,316,,,,
338,183387909,137,145,,,,
337,183387909,137,144,,,,
336,183387909,137,143,,,,
97,182805178,138,44,,,,
96,182805178,138,43,,,,
782,640782047,139,353,,,,
781,640782047,139,352,,,,
783,640782047,139,354,,,,
1413,4429093890,140,629,,,,
1414,4429093890,140,630,,,,
1415,4429093890,140,631,,,,
1102,1063458925,141,493,,,,
1101,1063458925,141,492,,,,
1259,182852399,142,567,,,,
1257,182852399,142,565,,,,
1258,182852399,142,566,,,,
881,183218562,143,394,,,,
883,183218562,143,396,,,,
882,183218562,143,395,,,,
626,2440989797,144,281,,,,
627,2440989797,144,282,,,,
314,182847214,145,135,,,,
316,182847214,145,137,,,,
315,182847214,145,136,,,,
355,182822675,146,150,,,,
356,182822675,146,151,,,,
354,182822675,146,149,,,,
288,182822612,147,128,,,,
287,182822612,147,127,,,,
289,182822612,147,129,,,,
1137,182843639,148,509,,,,
1138,182843639,148,510,,,,
1139,182843639,148,511,,,,
6,182837290,149,3,,,,
5,182837290,149,2,,,,
4,182837290,149,1,,,,
1205,182827571,150,542,,,,
1206,182827571,150,543,,,,
1204,182827571,150,541,,,,
340,182822666,151,147,,,,
339,182822666,151,146,,,,
341,182822666,151,148,,,,
1579,182820747,152,714,,,,
1580,182820747,152,715,,,,
205,2017166695,153,88,,,,
1014,640616505,154,454,,,,
1015,640616505,154,455,,,,
1349,1063451651,155,603,,,,
1351,1063451651,155,605,,,,
1350,1063451651,155,604,,,,
302,640616155,156,133,,,,
303,640616155,156,134,,,,
377,640616276,157,162,,,,
376,640616276,157,161,,,,
612,640616284,158,274,,,,
613,640616284,158,275,,,,
865,182866184,159,389,,,,
864,182866184,159,388,,,,
866,182866184,159,390,,,,
1214,640686662,160,544,,,,
546,1063455290,161,240,,,,
545,1063455290,161,239,,,,
610,640616284,162,274,,,,
611,640616284,162,275,,,,
380,640616329,163,165,,,,
381,640616329,163,166,,,,
382,640616332,165,167,,,,
383,640616332,166,167,,,,
606,640596564,167,271,,,,
663,640658728,168,302,,,,
661,640658728,168,300,,,,
662,640658728,168,301,,,,
657,182807817,169,299,,,,
656,182807817,169,298,,,,
655,182807817,169,297,,,,
694,640658816,170,313,,,,
1352,1063451651,171,603,,,,
1354,1063451651,171,605,,,,
1353,1063451651,171,604,,,,
1169,1063442822,172,522,,,,
1170,1063442822,172,523,,,,
429,182855738,173,186,,,,
428,182855738,173,185,,,,
427,182855738,173,184,,,,
1346,5112003584,174,602,,,,
1345,5112003584,174,601,,,,
1336,5112003572,175,598,,,,
1340,5112003581,176,600,,,,
1339,5112003581,176,599,,,,
931,182850363,177,419,,,,
932,182850363,177,420,,,,
930,182850363,177,418,,,,
787,640782047,178,352,,,,
788,640782047,178,353,,,,
789,640782047,178,354,,,,
67,183353712,179,27,,,,
1006,183359061,180,452,,,,
1005,183359061,180,451,,,,
1007,183359061,180,453,,,,
263,182806161,181,116,,,,
262,182806161,181,115,,,,
707,182848934,182,317,,,,
708,182848934,182,318,,,,
709,182848934,182,319,,,,
719,182848958,183,323,,,,
718,182848958,183,322,,,,
720,182848958,183,324,,,,
1436,3605815180,184,641,,,,
1435,3605815180,184,640,,,,
1434,3605815180,184,639,,,,
228,640615933,185,99,,,,
229,640615933,185,100,,,,
398,640616439,186,173,,,,
396,640616439,186,171,,,,
397,640616439,186,172,,,,
628,2440989800,187,283,,,,
630,2440989800,187,285,,,,
629,2440989800,187,284,,,,
1562,183357419,188,709,,,,
1561,183357419,188,708,,,,
1560,183357419,188,707,,,,
634,2440989803,189,286,,,,
544,1063455285,190,238,,,,
542,1063455285,190,236,,,,
543,1063455285,190,237,,,,
1097,1063442774,191,490,,,,
1096,1063442774,191,489,,,,
987,182817935,192,442,,,,
988,182817935,192,443,,,,
989,182817935,192,444,,,,
407,1661249571,193,178,,,,
468,1661249866,194,206,,,,
469,1661249866,194,207,,,,
406,1661249571,195,178,,,,
455,1063422170,196,198,,,,
1188,640596475,197,533,,,,
1187,640596475,197,532,,,,
1439,182827552,198,644,,,,
1438,182827552,198,643,,,,
185,182822072,199,77,,,,
186,182822072,199,78,,,,
187,182822072,199,79,,,,
861,640782527,200,386,,,,
154,182805471,201,64,,,,
155,182805471,201,65,,,,
1203,640596524,202,540,,,,
467,1063422272,203,205,,,,
466,1063422272,203,204,,,,
1065,1063422276,204,477,,,,
1066,1063422276,204,478,,,,
462,1063422214,205,202,,,,
514,1661250080,206,226,,,,
515,1661250080,206,227,,,,
