"shapeid","x","y"
"115","235605.972376","890495.434848"
"116","235605.289028","890469.480895"
"116","235601.418905","890356.891176"
"116","235601.437629","890353.185731"
"117","235601.048089","890327.284339"
"117","235599.052229","890270.503688"
"117","235592.235957","890051.312637"
"117","235592.267037","890050.848932"
"118","234642.370766","892119.132541"
"118","234673.712909","892108.094399"
"118","234694.867938","892101.367946"
"118","234713.475392","892096.634248"
"118","234721.728562","892094.875812"
"119","234637.76036","892115.18122"
"119","234663.78906","892088.97282"
"120","234925.370789","892066.117012"
"120","234943.454889","892063.874212"
"121","235004.451182","892056.627995"
"121","235065.452682","892047.536795"
"122","234960.264911","892061.869383"
"122","234978.765011","892059.689483"
"123","234747.705161","892090.553492"
"123","234808.285578","892083.258176"
"123","234908.544078","892068.502729"
"124","235287.484799","891354.905254"
"124","235264.081616","891353.858855"
"124","235243.777205","891352.627027"
"124","235230.585199","891347.79239"
"124","235214.168036","891336.106447"
"124","235197.006707","891319.387322"
"124","235182.79946","891306.814134"
"125","235358.113672","891362.527107"
"125","235347.361046","891360.705951"
"125","235327.948893","891358.946397"
"125","235313.190342","891357.09164"
"126","235512.671964","891421.325241"
"126","235498.797723","891413.1114"
"126","235469.696315","891399.984564"
"126","235436.087879","891381.619974"
"126","235427.104351","891377.99047"
"127","235402.776333","891370.532464"
"127","235383.688633","891367.035464"
"128","236414.090024","890228.307767"
"128","236426.613486","890221.416062"
"128","236458.125097","890200.441408"
"128","236468.395917","890195.479347"
"129","234645.782039","891980.464544"
"129","234635.904431","891967.0258"
"129","234630.595151","891955.99388"
"129","234626.349925","891942.077667"
"129","234620.283788","891895.305442"
"129","234607.690774","891787.087263"
"129","234606.845101","891772.556829"
"130","234647.257368","892000.069741"
"130","234634.072614","892012.21576"
"130","234628.132197","892018.265251"
"131","234664.654943","892075.488017"
"131","234642.748613","892055.57454"
"131","234625.988023","892037.361975"
"131","234625.210088","892036.611167"
"132","234189.794578","891244.272721"
"132","234162.559306","891235.09191"
"132","234119.896764","891215.955707"
"132","234054.213357","891186.09335"
"132","234030.133574","891175.419057"
"133","235610.471624","890495.352552"
"133","235612.223424","890591.126652"
"134","235605.937571","890353.208469"
"134","235605.919295","890356.825224"
"134","235609.786372","890469.326305"
"135","235596.756963","890051.149868"
"135","235596.740643","890051.393363"
"135","235603.549771","890270.354712"
"135","235605.545311","890327.126261"
"136","235055.712866","892131.058276"
"136","235065.275424","892094.612668"
"136","235073.552906","892061.637792"
"137","234722.147844","892094.775888"
"137","234716.813981","892093.297818"
"137","234702.619817","892090.684424"
"137","234688.016468","892087.519758"
"138","235495.959941","892126.2215"
"138","235484.448477","892120.1899"
"138","235448.904004","892103.834295"
"138","235420.316068","892090.606438"
"138","235383.7533","892075.003439"
"138","235329.7256","892060.404053"
"138","235297.498836","892054.376724"
"139","235226.820181","892046.615046"
"139","235207.700712","892045.008051"
"139","235176.716315","892046.25397"
"140","235150.854168","892047.617511"
"140","235095.985646","892051.197978"
"140","235092.332554","892051.715113"
"141","235272.134052","892050.799128"
"141","235252.669652","892048.937428"
"142","235185.78174","891303.444266"
"142","235200.069693","891316.088878"
"142","235217.059964","891332.641353"
"142","235232.701801","891343.77541"
"142","235244.707195","891348.175173"
"142","235264.318384","891349.364945"
"142","235287.685801","891350.409746"
"143","235478.048676","891169.698366"
"143","235474.606452","891169.8682"
"143","235451.136989","891169.191565"
"143","235431.880859","891167.981431"
"143","235392.763344","891165.445476"
"143","235374.711326","891162.539325"
"143","235358.01055","891157.613665"
"143","235328.057869","891146.046251"
"143","235317.173911","891140.037238"
"144","235313.751458","891352.62676"
"144","235328.432707","891354.471803"
"144","235347.940754","891356.240049"
"144","235358.865128","891358.090293"
"145","235588.255458","891166.319027"
"145","235582.768062","891164.244549"
"145","235568.346518","891162.024348"
"145","235555.816945","891163.096015"
"146","235428.790049","891373.81813"
"146","235438.016121","891377.545626"
"146","235471.703285","891395.953236"
"146","235500.875477","891409.112"
"146","235514.964436","891417.452959"
"147","235529.902928","891165.247922"
"147","235519.855105","891166.085581"
"147","235504.084341","891167.713606"
"148","235384.499567","891362.609136"
"148","235403.587267","891366.106136"
"149","235634.498907","891185.875268"
"149","235612.211407","891176.095468"
"150","235294.203163","891128.131435"
"150","235269.037463","891115.915735"
"151","235245.766457","891104.171692"
"151","235240.313575","891101.313232"
"151","235230.734622","891097.982388"
"151","235227.141942","891097.822783"
"152","235612.012249","890730.807572"
"152","235610.012787","890713.490309"
"152","235608.608139","890617.180212"
"153","235684.311005","891013.21587"
"153","235679.814517","891006.667812"
"153","235664.467692","890967.755308"
"153","235656.141273","890942.945296"
"153","235647.469457","890912.018927"
"153","235620.36783","890830.450146"
"153","235616.097656","890803.564726"
"153","235614.006872","890788.285073"
"153","235613.639051","890756.488826"
"154","234611.337499","891772.295371"
"154","234612.175626","891786.696137"
"154","234624.750212","891894.755958"
"154","234630.764075","891941.125133"
"154","234634.799049","891954.35212"
"154","234639.777969","891964.6976"
"154","234649.407961","891977.799456"
"155","234624.921403","892015.112349"
"155","234630.940786","892008.98244"
"155","234644.208432","891996.760059"
"156","234628.335112","892033.373233"
"156","234629.208977","892034.216625"
"156","234645.923987","892052.37966"
"156","234667.681857","892072.158183"
"157","234031.957226","891171.305143"
"157","234056.056443","891181.98805"
"157","234121.748836","891211.854493"
"157","234164.202694","891230.89709"
"157","234191.232022","891240.008479"
"158","235077.917494","892062.733408"
