id,road_type,category,from_node,to_node,road_name,tags
63259,1,1,110028276,110261740,East Ellet Street,
63260,1,1,110028276,109913841,Sprague Street,
63261,1,1,110219518,109823561,"[u'North Lawrence Street', u'West Pike Street']",
63262,1,1,110219518,109975091,North Lawrence Street,
63263,1,1,4461191108,110302792,Calvert Street,
63264,1,1,4461191108,4461191111,Tyson Avenue,
63265,1,1,4775506103,110043330,South 57th Street,
63266,1,1,4775506103,4775506101,South 57th Street,
63267,1,1,4775506103,110049418,Angora Terrace,
63268,1,1,110028313,109913841,East Mount Pleasant Avenue,
63269,1,1,110028313,109905837,East Mount Pleasant Avenue,
63270,1,1,110028313,110028319,Sprague Street,
63271,1,1,110132145,110166111,Bonaffon Street,
63272,1,1,110132145,110132154,Paschall Avenue,
63273,1,1,110132145,110132133,Paschall Avenue,
63274,1,1,110028346,110028375,Sprague Street,
63275,1,1,110028346,109905880,East Mount Airy Avenue,
63276,1,1,110028346,110224508,East Mount Airy Avenue,
63277,1,1,110028346,110028319,Sprague Street,
63278,1,1,103474753,103373935,Edison Court,
63279,1,1,103474775,103445753,Greenvale Road,
63280,1,1,103474775,103348411,Greenvale Road,
63281,1,1,103474775,103474781,Richard Road,
63282,1,1,103474781,103433668,Howard Road,
63283,1,1,103474781,103474789,Richard Road,
63284,1,1,103474781,103387912,Howard Road,
63285,1,1,103474781,103474775,Richard Road,
63286,1,1,103474789,103387930,Richard Road,
63287,1,1,103474789,103468636,Bruce Road,
63288,1,1,103474789,103474781,Richard Road,
63289,1,1,110028405,110028435,Sprague Street,
63290,1,1,110028405,109905924,Wadsworth Avenue,
63291,1,1,110028405,110028375,Sprague Street,
63292,1,1,110028435,110261446,East Gowen Avenue,
63293,1,1,110028435,109905997,East Gowen Avenue,
63294,1,1,110028435,110028405,Sprague Street,
63295,1,1,110028435,110028570,Sprague Street,
63296,1,1,109730370,109730360,N 5th Street,
63297,1,1,109730370,109730378,N 5th Street,
63298,1,1,109730370,109900371,West Courtland Street,
63299,1,1,109730370,110288447,West Courtland Street,
63300,1,1,110263240,110148889,Mansfield Avenue,
63301,1,1,110263240,110194938,Mansfield Avenue,
63302,1,1,110263240,110263255,East Mayland Street,
63303,1,1,103474885,103477185,Beideman Avenue,
63304,1,1,103474885,103399235,River Avenue,
63305,1,1,103474885,103416979,River Avenue,
63306,1,1,103474885,103389116,Beideman Avenue,
63307,1,1,103474886,103399235,River Avenue,
63308,1,1,103474886,103465645,River Avenue,
63309,1,1,103474886,103389110,Lois Avenue,
63310,1,1,103474886,103477183,Lois Avenue,
63311,1,1,103360119,103360114,High Street,
63312,1,1,103360119,103401250,Horner Avenue,
63313,1,1,103360119,103360123,High Street,
63314,1,1,103360119,103420021,Horner Avenue,
63315,1,1,103474896,103474898,River Avenue,
63316,1,1,103474896,103474892,River Avenue,
63317,1,1,103474896,103475421,North 21st Street,
63318,1,1,103474898,103474896,River Avenue,
63319,1,1,103474898,103396778,River Avenue,
63320,1,1,103474898,103416139,North 21st Street,
63321,1,1,4713277160,109869493,Blue Bell Terrace,
63322,1,1,110001106,110001114,South 15th Street,
63323,1,1,110001106,109791831,Reed Street,
63324,1,1,112387823,112391305,Stenton Avenue,
63325,1,1,112387823,112272838,Whitemarsh Avenue,
63326,1,1,112387823,111819894,Stenton Avenue,
63327,1,1,110438017,110219585,North 10th Street,
63328,1,1,110438017,110528235,West Erie Avenue,
63329,1,1,110438017,110442064,"[u'East Erie Avenue', u'West Erie Avenue']",
63330,1,1,110438017,110438007,North 10th Street,
63331,1,1,110263255,110194947,Rodney Street,
63332,1,1,110263255,110148900,Rodney Street,
63333,1,1,110263255,110263240,East Mayland Street,
63334,1,1,110263255,110263274,East Mayland Street,
63335,1,1,109766426,110140464,North 25th Street,
63336,1,1,109766426,110422111,West Berks Street,
63337,1,1,109826353,110187675,West Cambria Street,
63338,1,1,109826353,109826365,North 7th Street,
63339,1,1,110028614,109865515,Sprague Street,
63340,1,1,110028614,110168219,East Chelten Avenue,
63341,1,1,110028614,110168213,East Chelten Avenue,
63342,1,1,110028614,110028623,Sprague Street,
63343,1,1,110028623,110028632,Sprague Street,
63344,1,1,110028623,110028614,Sprague Street,
63345,1,1,110028632,110028642,Sprague Street,
63346,1,1,110028632,110261534,East Price Street,
63347,1,1,110028632,109905414,East Price Street,
63348,1,1,110028632,110028623,Sprague Street,
63349,1,1,110028642,110028632,Sprague Street,
63350,1,1,110028642,635451366,Sprague Street,
63351,1,1,110028642,109905422,East Rittenhouse Street,
63352,1,1,110001126,109879118,Morris Street,
63353,1,1,110001126,110001135,South 15th Street,
63354,1,1,110028649,110282625,East Haines Street,
63355,1,1,110028649,635451366,Sprague Street,
63356,1,1,110028649,109905431,East Haines Street,
63357,1,1,110028670,110176670,Memphis Street,
63358,1,1,110028670,110028679,East Eyre Street,
63359,1,1,112387971,1055534537,Huntingdon Pike,
63360,1,1,112387971,111765995,Linton Road,
63361,1,1,112387971,4234524510,Linton Road,
63362,1,1,110028679,109921929,East Eyre Street,
63363,1,1,110028679,110393410,Tulip Street,
63364,1,1,110028679,110028670,East Eyre Street,
63365,1,1,110028688,109921929,East Eyre Street,
63366,1,1,110028688,110393396,Frankford Avenue,
63367,1,1,110028688,110176740,Frankford Avenue,
63368,1,1,110028708,109989858,East Eyre Street,
63369,1,1,110028708,110393347,Belgrade Street,
63370,1,1,110028737,110219407,East Wildey Street,
63371,1,1,529459158,529459319,Marshall Road,
63372,1,1,109913765,110292499,North 52nd Street,
63373,1,1,109913765,109913774,West Jefferson Street,
63374,1,1,109913765,110292459,North 52nd Street,
63375,1,1,110553056,110025422,Arnold Street,
63376,1,1,110028781,2702188628,Mercury Place,
63377,1,1,110028781,110028789,South 78th Street,
63378,1,1,110028781,109885487,South 78th Street,
63379,1,1,112125947,112126256,Greenwood Avenue,
63380,1,1,112125947,112125980,West Avenue,
63381,1,1,112125947,1941585478,West Avenue,
63382,1,1,110028798,110002176,South 78th Street,
63383,1,1,110028798,2702188713,Chelwynde Avenue,
63384,1,1,110028798,110345355,Chelwynde Avenue,
63385,1,1,110028798,110028789,South 78th Street,
