id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category
137,71,2,2,1000,60,,2
138,71,3,2,1000,60,,2
139,71,4,2,1000,60,,2
140,71,5,2,1000,60,,2
141,71,6,2,1000,60,,2
142,72,1,2,1000,60,,2
143,72,2,2,1000,60,,2
144,72,3,2,1000,60,,2
145,73,1,2,1000,60,,2
146,73,2,2,1000,60,,2
147,73,3,2,1000,60,,2
148,73,4,2,1000,60,,2
149,73,5,2,1000,60,,2
150,73,6,2,1000,60,,2
151,73,7,2,1000,60,,2
152,73,8,2,1000,60,,2
153,73,9,2,1000,60,,2
154,73,10,2,1000,60,,2
155,73,11,2,1000,60,,2
156,73,12,2,1000,60,,2
157,74,1,2,1000,60,,2
158,75,1,2,1000,60,,2
159,75,2,2,1000,60,,2
160,76,1,2,1000,60,,2
161,76,2,2,1000,60,,2
162,76,3,2,1000,60,,2
163,76,4,2,1000,60,,2
164,76,5,2,1000,60,,2
165,76,6,2,1000,60,,2
166,77,1,2,1000,60,,2
167,77,2,2,1000,60,,2
168,77,3,2,1000,60,,2
169,77,4,2,1000,60,,2
170,78,1,2,1000,60,,2
171,78,2,2,1000,60,,2
172,79,1,2,1000,60,,2
173,79,2,2,1000,60,,2
174,80,1,2,1000,60,,2
175,80,2,2,1000,60,,2
176,80,3,2,1000,60,,2
177,80,4,2,1000,60,,2
178,80,5,2,1000,60,,2
179,81,1,2,1000,60,,2
180,82,1,2,1000,60,,2
181,82,2,2,1000,60,,2
182,83,1,2,1000,60,,2
183,83,2,2,1000,60,,2
184,84,1,2,1000,60,,2
185,85,1,2,1000,60,,2
186,85,2,2,1000,60,,2
187,86,1,2,1000,60,,2
188,87,1,2,1000,60,,2
189,88,1,2,1000,60,,2
190,88,2,2,1000,60,,2
191,89,1,2,1000,60,,2
192,89,2,2,1000,60,,2
193,90,1,2,1000,60,,2
194,90,2,2,1000,60,,2
195,91,1,2,1000,60,,2
196,92,1,2,1000,60,,2
197,93,1,2,1000,60,,2
198,94,1,2,1000,60,,2
199,94,2,2,1000,60,,2
200,94,3,2,1000,60,,2
