id,x,y,z,traffic_light_id,tags,node_type
110177729,-75.040247,40.053158,0,0,,2
110177951,-75.074247,40.069068,0,0,,2
110177962,-75.073552,40.068675,0,0,,2
110178007,-75.195721,40.057672,0,0,,2
110178136,-75.055252,40.097968,0,0,,2
110178177,-75.2492878,39.9230515,0,0,,2
110178195,-75.2467558,39.9248221,0,0,,2
110178211,-75.050879,40.095986,0,0,,2
110178565,-75.2158742,40.0824803,0,0,,2
110178627,-75.151622,40.017582,0,0,,2
110178651,-75.156552,39.995318,0,0,,3
110178676,-75.1507721,40.0217625,0,0,,3
110178688,-75.1504384,40.0232597,0,0,,2
110178729,-75.151257,40.019479,0,0,,2
110178758,-75.154363,40.002655,0,0,,2
110178827,-75.1607108,40.0032404,0,0,,2
110178868,-75.181579,40.005928,0,0,,2
110178882,-75.150558,40.002028,0,0,,3
110178906,-75.13045,40.002631,0,0,,3
110178911,-75.1316,40.002773,0,0,,3
110178930,-75.163455,40.006897,0,0,,2
110178936,-75.165057,40.007093,0,0,,2
110178946,-75.1666739,40.0073039,0,0,,3
110179004,-75.09379,40.031512,0,0,,2
110179017,-75.093485,40.031792,0,0,,2
110179107,-75.153336,39.952282,0,0,,3
110179139,-75.154934,39.952364,0,0,,2
110179156,-75.1565078,39.9525657,0,0,,2
110179173,-75.1580843,39.9527558,0,0,,2
110179190,-75.1596724,39.9529452,0,0,,2
110179199,-75.1612273,39.9531356,0,0,,2
110179224,-75.2366422,39.9622853,0,0,,2
110179237,-75.23793,39.962445,0,0,,3
110179254,-75.2386227,39.9625301,0,0,,2
110179304,-75.224705,39.960808,0,0,,2
110179312,-75.225778,39.96094,0,0,,2
110179320,-75.1913136,39.9566004,0,0,,2
110179387,-75.1979076,39.957422,0,0,,2
110179429,-75.1994789,39.9575975,0,0,,2
110179473,-75.200981,39.9577719,0,0,,3
110179493,-75.2026712,39.9579793,0,0,,3
110179504,-75.203487,39.9580878,0,0,,2
110179525,-75.2050979,39.9581099,0,0,,3
110179541,-75.2346517,39.9622809,0,0,,2
110179549,-75.2365919,39.9625196,0,0,,2
110179580,-74.997097,40.055132,0,0,,2
110179590,-74.9952517,40.0535457,0,0,,2
110179622,-74.99277,40.051317,0,0,,2
110179641,-75.002472,40.060074,0,0,,2
110179742,-75.000231,40.058694,0,0,,2
110179793,-75.007226,40.063961,0,0,,2
110179840,-75.004866,40.062812,0,0,,2
110179873,-75.163194,39.930075,0,0,,3
110179892,-75.1642138,39.9311651,0,0,,3
110179906,-75.152032,39.928762,0,0,,2
110179941,-75.155174,39.929193,0,0,,3
110179966,-75.158294,39.9296017,0,0,,3
110179992,-75.1813151,39.9325924,0,0,,2
110180003,-75.1846197,39.9330121,0,0,,3
110180028,-75.1567226,39.9294576,0,0,,3
110180054,-75.226307,40.033298,0,0,,2
110180074,-75.133922,40.001546,0,0,,2
110180084,-75.135144,40.001701,0,0,,3
110180183,-75.193959,39.9056216,0,0,,2
110181520,-75.2492912,39.9157025,0,0,,2
110181782,-74.985623,40.068439,0,0,,2
110181864,-74.987228,40.067898,0,0,,2
110181887,-75.1592221,39.9327005,0,0,,3
110181954,-75.163099,39.9184048,0,0,,3
110181959,-75.1633701,39.9171675,0,0,,3
110181973,-75.1626518,39.9196397,0,0,,3
110181987,-75.1629303,39.9183837,0,0,,3
110182010,-75.157572,39.9426603,0,0,,2
110182035,-75.1632082,39.9171467,0,0,,3
110182065,-75.1618629,39.9233667,0,0,,2
110182089,-75.1623732,39.9208926,0,0,,3
110182107,-75.160186,39.931049,0,0,,3
110182345,-75.2456314,39.9378384,0,0,,2
110182359,-75.2425673,39.9391502,0,0,,2
110182553,-75.045279,40.039279,0,0,,2
110182571,-75.044386,40.040198,0,0,,2
110182580,-75.043739,40.040859,0,0,,2
110182605,-75.075429,40.064926,0,0,,2
110182615,-75.076692,40.065602,0,0,,2
110182685,-75.172726,40.035986,0,0,,2
110182694,-75.171839,40.036841,0,0,,2
110182738,-75.168911,40.03847,0,0,,2
110182757,-75.168642,40.0384697,0,0,,3
110182831,-75.132653,39.980337,0,0,,2
110182842,-75.132097,39.980008,0,0,,2
110183041,-75.203952,39.966164,0,0,,2
110183051,-75.205552,39.966041,0,0,,2
110183062,-75.206518,39.965967,0,0,,2
110183074,-75.208221,39.965837,0,0,,2
110183083,-75.209488,39.965747,0,0,,2
110183089,-75.2123032,39.9655334,0,0,,2
110183103,-75.22017,39.964844,0,0,,2
110183112,-75.222025,39.964659,0,0,,2
110183121,-75.223264,39.964542,0,0,,2
110183138,-75.173955,39.968349,0,0,,2
110183147,-75.1751504,39.9684971,0,0,,2
110183151,-75.1761145,39.9686165,0,0,,2
110183161,-75.1777855,39.9688234,0,0,,2
110183166,-75.1807071,39.9691853,0,0,,2
110183192,-75.1933916,39.9673457,0,0,,2
110183201,-75.193693,39.967295,0,0,,2
110183209,-75.1951433,39.9671337,0,0,,2
110183217,-75.1965909,39.9669727,0,0,,2
110183228,-75.197318,39.966894,0,0,,2
110183236,-75.1980397,39.9668121,0,0,,2
110183246,-75.200272,39.966567,0,0,,2
110183258,-75.20175,39.966403,0,0,,2
110183281,-75.124008,40.023105,0,0,,2
110183290,-75.121258,40.022767,0,0,,2
110183297,-75.120136,40.022627,0,0,,2
110183307,-75.118821,40.022452,0,0,,2
110183314,-75.117959,40.022349,0,0,,2
110183320,-75.116106,40.022109,0,0,,2
110183340,-75.115352,40.022014,0,0,,2
110183357,-75.114917,40.021956,0,0,,2
110183379,-75.114333,40.021883,0,0,,2
110183455,-75.230405,39.9598865,0,0,,2
110183530,-75.237139,39.963127,0,0,,3
110183541,-75.2368224,39.9646458,0,0,,2
110183553,-75.236504,39.966167,0,0,,2
110183583,-75.236203,39.968677,0,0,,2
110183600,-75.2363153,39.9702732,0,0,,2
110183622,-75.2362905,39.9677007,0,0,,2
110183641,-75.236007,39.968623,0,0,,2
110183677,-75.236605,39.971804,0,0,,2
110183684,-75.236843,39.973083,0,0,,2
110183780,-75.23724,39.98484,0,0,,2
110183837,-75.2381995,39.9860816,0,0,,2
110183882,-75.236005,39.980113,0,0,,2
110183885,-75.239258,39.979754,0,0,,2
110183894,-75.242482,39.979393,0,0,,2
110183904,-75.2462285,39.9789822,0,0,,2
110184006,-75.186464,39.98351,0,0,,2
110184020,-75.1873061,39.983611,0,0,,2
110184043,-75.179373,39.982564,0,0,,3
110185391,-75.222184,39.944198,0,0,,2
110185403,-75.223455,39.94331,0,0,,2
110185414,-75.224129,39.942836,0,0,,2
110185427,-75.224628,39.9425,0,0,,2
110185438,-75.225024,39.942218,0,0,,2
110185455,-75.234113,39.935823,0,0,,2
110185482,-75.216553,39.9481559,0,0,,2
110185490,-75.2178636,39.9472432,0,0,,2
110185495,-75.2191031,39.9463588,0,0,,2
110185506,-75.219798,39.945878,0,0,,2
110185577,-75.045102,40.0317496,0,0,,2
110185588,-75.0429777,40.0328443,0,0,,2
110185638,-75.0407417,40.0340042,0,0,,2
110185646,-75.03905,40.034877,0,0,,2
110185662,-75.069138,40.0194,0,0,,2
110185668,-75.067522,40.020236,0,0,,2
110185709,-75.061716,40.023154,0,0,,2
110185719,-75.059761,40.024161,0,0,,2
110185733,-75.0273093,40.0394111,0,0,,2
110185748,-75.0524493,40.0279524,0,0,,2
110185753,-75.0506218,40.0288901,0,0,,2
110185773,-75.073419,40.080796,0,0,,2
110185856,-75.0968,40.004168,0,0,,2
110185869,-75.095879,40.004689,0,0,,2
110185912,-75.1156653,39.9933938,0,0,,2
110185918,-75.11357,39.994459,0,0,,3
110185926,-75.113296,39.994605,0,0,,3
110185937,-75.112969,39.994776,0,0,,3
110185946,-75.112841,39.994847,0,0,,3
110185953,-75.1115303,39.9955301,0,0,,3
110185961,-75.1104669,39.9960863,0,0,,3
110185970,-75.1103683,39.9961379,0,0,,3
110185982,-75.109785,39.996443,0,0,,2
110185995,-75.10921,39.996751,0,0,,2
110185997,-75.107484,39.997658,0,0,,2
110186006,-75.106905,39.997956,0,0,,3
110186017,-75.106336,39.998254,0,0,,3
110186025,-75.10517,39.998854,0,0,,2
110186034,-75.10461,39.999146,0,0,,2
110186043,-75.1041305,39.9993963,0,0,,2
110186056,-75.1028955,40.0000471,0,0,,2
110186090,-75.122688,39.98971,0,0,,3
110186100,-75.121552,39.990287,0,0,,2
110186110,-75.120618,39.990775,0,0,,2
110186117,-75.118606,39.99183,0,0,,2
110186128,-75.117973,39.992159,0,0,,3
110186140,-75.11736,39.992483,0,0,,2
110186146,-75.1168482,39.9927321,0,0,,2
110186178,-75.1316634,39.9850247,0,0,,3
110186190,-75.1310741,39.9853318,0,0,,2
110186203,-75.1304997,39.985631,0,0,,2
110186212,-75.1299159,39.9859352,0,0,,2
110186221,-75.1287468,39.9865443,0,0,,2
110186231,-75.1281621,39.9868502,0,0,,3
110186242,-75.1270276,39.98744,0,0,,2
110186251,-75.1264458,39.9877431,0,0,,2
110186266,-75.1259604,39.987996,0,0,,2
110186277,-75.1254815,39.9882455,0,0,,2
110186294,-75.0178574,40.1031402,0,0,,2
110186307,-75.017504,40.102838,0,0,,2
110186339,-75.016372,40.101583,0,0,,2
110186346,-75.016067,40.101031,0,0,,2
110186407,-75.1746709,39.9428986,0,0,,3
110186412,-75.1748759,39.9419008,0,0,,3
110186435,-75.105149,39.981031,0,0,,2
110186549,-75.205658,40.044838,0,0,,2
110186570,-75.156039,39.995515,0,0,,3
110186582,-75.157046,39.995139,0,0,,3
110186596,-75.157667,39.994918,0,0,,3
110186615,-75.1530131,39.9950541,0,0,,2
110186632,-75.1543102,39.995221,0,0,,2
110186679,-75.153035,39.9949544,0,0,,2
110186701,-75.145837,39.994037,0,0,,3
110186703,-75.146618,39.994137,0,0,,3
110186720,-75.150581,39.994522,0,0,,3
110186800,-75.098015,39.986929,0,0,,2
110186818,-75.096819,39.987554,0,0,,3
110186841,-75.119273,39.97582,0,0,,2
110186850,-75.117403,39.976788,0,0,,2
110186872,-75.11627,39.977403,0,0,,2
110186878,-75.113487,39.978847,0,0,,2
110186915,-75.179531,39.9876995,0,0,,2
110186948,-75.181135,39.9802381,0,0,,2
110186975,-75.1808331,39.9816507,0,0,,2
110186995,-75.180312,39.984265,0,0,,2
110187039,-75.1784914,39.9923371,0,0,,3
110187064,-75.1771118,39.9994242,0,0,,2
110187100,-75.1792379,39.9855765,0,0,,2
110187129,-75.1756806,40.0045374,0,0,,2
110187166,-75.1831809,39.9707312,0,0,,3
110187179,-75.182951,39.971851,0,0,,3
110187199,-75.158713,39.997651,0,0,,2
110187211,-75.1602705,39.9978516,0,0,,2
110187250,-75.1618526,39.9980553,0,0,,2
110187268,-75.1640471,39.9983379,0,0,,2
110187279,-75.1646536,39.998416,0,0,,2
110187297,-75.1652923,39.9984983,0,0,,2
110187307,-75.1660817,39.9985999,0,0,,2
110187318,-75.1668905,39.9987041,0,0,,2
110187329,-75.1684994,39.9989113,0,0,,2
110187341,-75.1711108,39.9992475,0,0,,2
110187365,-75.1722347,39.9993923,0,0,,2
110187390,-75.1727151,39.9994541,0,0,,2
110187413,-75.1743106,39.9996596,0,0,,2
110187447,-75.1755111,39.9998142,0,0,,2
110187501,-75.13078,39.994032,0,0,,2
110187515,-75.1312954,39.9940952,0,0,,2
110187530,-75.13223,39.994217,0,0,,2
110187539,-75.132692,39.99428,0,0,,2
110187551,-75.133148,39.994344,0,0,,2
110187564,-75.133672,39.99441,0,0,,2
110187575,-75.134217,39.99448,0,0,,2
110187598,-75.1356073,39.9946654,0,0,,2
110187609,-75.1366743,39.9948018,0,0,,2
110187620,-75.13767,39.994928,0,0,,2
110187636,-75.138135,39.994985,0,0,,2
110187649,-75.138588,39.995047,0,0,,2
110187663,-75.139029,39.995099,0,0,,2
110187675,-75.14232,39.995526,0,0,,2
110187683,-75.143792,39.995715,0,0,,2
110187691,-75.14444,39.995799,0,0,,2
110187705,-75.145427,39.995929,0,0,,2
110187737,-75.146197,39.996028,0,0,,3
110187749,-75.14786,39.99624,0,0,,3
110187758,-75.1485676,39.9963315,0,0,,2
110187765,-75.150141,39.996537,0,0,,2
110187774,-75.150929,39.996642,0,0,,3
110187784,-75.151715,39.996741,0,0,,2
110187789,-75.152353,39.996823,0,0,,2
110187793,-75.152618,39.996856,0,0,,2
110187797,-75.153449,39.996971,0,0,,2
110187984,-75.1511372,39.9636725,0,0,,2
110187995,-75.151097,39.964238,0,0,,2
110188140,-75.156327,40.049607,0,0,,2
110188167,-75.15671,40.043743,0,0,,2
