,0,1,2
291,73.0,74.0,{'dist': 0.00079707309576930419}
292,73.0,328.0,{'dist': 0.0014105754286935991}
293,75.0,374.0,{'dist': 0.00045857387627471879}
294,75.0,151.0,{'dist': 0.00081917453574026345}
295,75.0,132.0,{'dist': 0.0017935106495292671}
296,75.0,394.0,{'dist': 0.0021796203797890142}
297,76.0,79.0,{'dist': 0.00087702831197588747}
298,76.0,81.0,{'dist': 0.0010315214491302925}
299,76.0,102.0,{'dist': 0.0010372979176705955}
300,77.0,78.0,{'dist': 0.0010603181079263026}
301,77.0,261.0,{'dist': 0.0011000110044984894}
302,77.0,315.0,{'dist': 0.0014041656348180468}
303,77.0,312.0,{'dist': 0.0016605669062118051}
304,78.0,315.0,{'dist': 0.00097788900187814284}
305,78.0,312.0,{'dist': 0.0010693133871878234}
306,78.0,261.0,{'dist': 0.0017542857520950698}
307,79.0,81.0,{'dist': 0.00018197010743708025}
308,80.0,460.0,{'dist': 0.001425917374894754}
309,80.0,298.0,{'dist': 0.0016304308203669534}
310,80.0,314.0,{'dist': 0.0017571036395243949}
311,82.0,149.0,{'dist': 0.00011499673908544094}
312,82.0,86.0,{'dist': 0.00021819773142239999}
313,82.0,145.0,{'dist': 0.00037532419319513368}
314,82.0,90.0,{'dist': 0.00056859599893224993}
315,82.0,85.0,{'dist': 0.00058233740219605016}
316,82.0,197.0,{'dist': 0.00068775196110912697}
317,83.0,413.0,{'dist': 0.00089303079453698965}
318,83.0,438.0,{'dist': 0.0011677200006873069}
319,83.0,412.0,{'dist': 0.0013506002369301914}
320,83.0,440.0,{'dist': 0.0015078915743551957}
321,84.0,357.0,{'dist': 0.00026304837957629221}
322,84.0,89.0,{'dist': 0.00043359885839732207}
323,84.0,354.0,{'dist': 0.00068609102894873252}
324,84.0,239.0,{'dist': 0.001050835648431149}
325,85.0,88.0,{'dist': 0.0002417479058850143}
326,85.0,90.0,{'dist': 0.00030506802520274438}
327,85.0,86.0,{'dist': 0.00060486833277808606}
328,85.0,87.0,{'dist': 0.00073362739862088862}
329,85.0,92.0,{'dist': 0.00094510990366002438}
330,85.0,145.0,{'dist': 0.00083025929684333037}
331,86.0,145.0,{'dist': 0.00022719507036801767}
332,86.0,149.0,{'dist': 0.00025488664146428649}
333,86.0,87.0,{'dist': 0.00092425672841233634}
334,86.0,88.0,{'dist': 0.00063872786850624691}
335,86.0,92.0,{'dist': 0.0010931151128782438}
336,87.0,92.0,{'dist': 0.00021148250517967837}
337,87.0,88.0,{'dist': 0.00049187950760861364}
338,88.0,90.0,{'dist': 0.00054681591966721118}
339,88.0,92.0,{'dist': 0.00070336201205199592}
340,89.0,354.0,{'dist': 0.00027677877446907978}
341,89.0,357.0,{'dist': 0.00059572248573023351}
342,89.0,239.0,{'dist': 0.001232485947177698}
343,91.0,196.0,{'dist': 0.00086649680900424296}
344,91.0,304.0,{'dist': 0.0011133171201389456}
345,91.0,139.0,{'dist': 0.0015043331446213976}
346,91.0,170.0,{'dist': 0.0018741184194153359}
347,92.0,213.0,{'dist': 0.001103000766088701}
348,93.0,94.0,{'dist': 0.00038440083246859419}
349,93.0,170.0,{'dist': 0.0007111500826131891}
350,93.0,304.0,{'dist': 0.0014716782936507193}
351,93.0,97.0,{'dist': 0.0015069253465235875}
352,94.0,170.0,{'dist': 0.0010953892641471633}
353,94.0,97.0,{'dist': 0.0011226700316608665}
354,94.0,409.0,{'dist': 0.0015838999242421554}
355,95.0,333.0,{'dist': 0.00053417080601723607}
356,95.0,270.0,{'dist': 0.0015084440758683245}
357,95.0,341.0,{'dist': 0.001576504240398531}
358,95.0,188.0,{'dist': 0.0017110065604799419}
359,95.0,395.0,{'dist': 0.0018849830688933179}
360,95.0,452.0,{'dist': 0.0026403416786507142}
361,96.0,427.0,{'dist': 0.00088823082585107248}
362,96.0,371.0,{'dist': 0.00096043167377820628}
363,96.0,243.0,{'dist': 0.0011484563552862745}
364,96.0,372.0,{'dist': 0.0020259950641632993}
365,97.0,98.0,{'dist': 0.00049501358567305496}
366,97.0,409.0,{'dist': 0.00071681808710591084}
367,97.0,411.0,{'dist': 0.0013361047301753502}
368,98.0,409.0,{'dist': 0.00065435844915961007}
369,98.0,448.0,{'dist': 0.0011825013826631638}
370,98.0,479.0,{'dist': 0.0012145658689450547}
371,99.0,238.0,{'dist': 0.0013516841346997107}
372,99.0,267.0,{'dist': 0.0013617110559909316}
373,99.0,265.0,{'dist': 0.0015333587316734697}
374,99.0,216.0,{'dist': 0.001545640643865914}
375,100.0,214.0,{'dist': 0.00095813360237199756}
376,100.0,269.0,{'dist': 0.0013651937591488252}
377,100.0,408.0,{'dist': 0.001451150140402106}
378,100.0,216.0,{'dist': 0.0019043279654455628}
379,101.0,274.0,{'dist': 0.00047300795976113147}
380,101.0,104.0,{'dist': 0.00078350813652561377}
381,101.0,263.0,{'dist': 0.00080493963127770628}
382,101.0,106.0,{'dist': 0.0010140278497230237}
383,101.0,109.0,{'dist': 0.0014071957930620702}
384,101.0,265.0,{'dist': 0.0013758126507612883}
385,102.0,131.0,{'dist': 0.0017729083930021761}
386,103.0,105.0,{'dist': 0.00081679679235719847}
387,103.0,364.0,{'dist': 0.00093698505857869234}
388,103.0,299.0,{'dist': 0.0010608562579347231}
389,103.0,300.0,{'dist': 0.0012164378323555854}
390,103.0,363.0,{'dist': 0.0013892044485958193}
391,104.0,106.0,{'dist': 0.00023056252948536416}
392,104.0,109.0,{'dist': 0.00062463509347774487}
393,104.0,274.0,{'dist': 0.0010844239622944936}
394,105.0,363.0,{'dist': 0.0009456955112517178}
395,105.0,364.0,{'dist': 0.0010841263764006189}
396,105.0,362.0,{'dist': 0.0013968027777819872}
397,105.0,360.0,{'dist': 0.0020548761519882069}
398,106.0,109.0,{'dist': 0.00039456467150196203}
399,106.0,274.0,{'dist': 0.0013015915680505362}
400,107.0,162.0,{'dist': 0.00018239999999991596}
401,107.0,477.0,{'dist': 0.00050298986073151072}
402,107.0,163.0,{'dist': 0.00069458834571677617}
403,107.0,110.0,{'dist': 0.00093959132605204261}
404,107.0,118.0,{'dist': 0.00074811470376836848}
405,108.0,432.0,{'dist': 0.0017937880950623965}
406,108.0,179.0,{'dist': 0.002178059659420091}
407,108.0,130.0,{'dist': 0.0023594410460962972}
408,109.0,402.0,{'dist': 0.001253629438873419}
409,110.0,162.0,{'dist': 0.00075995443284045941}
410,110.0,297.0,{'dist': 0.00082848713327126407}
411,111.0,402.0,{'dist': 0.0004837732526706986}
412,111.0,311.0,{'dist': 0.0011725680236125866}
413,111.0,143.0,{'dist': 0.0013275662431643956}
414,111.0,113.0,{'dist': 0.0013306300800723959}
415,112.0,424.0,{'dist': 0.00042509351911700175}
416,112.0,194.0,{'dist': 0.00043095661034788424}
417,112.0,448.0,{'dist': 0.00045549121835200155}
418,112.0,411.0,{'dist': 0.0010633589845352063}
419,112.0,454.0,{'dist': 0.00079218508569865547}
420,113.0,117.0,{'dist': 0.0010533751515891302}
421,113.0,203.0,{'dist': 0.0015441027977423319}
422,113.0,332.0,{'dist': 0.0016652560283659011}
423,114.0,211.0,{'dist': 9.8138320745626525e-05}
424,114.0,178.0,{'dist': 0.00028416365003246854}
425,114.0,174.0,{'dist': 0.00058470650758373139}
426,114.0,176.0,{'dist': 0.00061792819161920955}
427,114.0,142.0,{'dist': 0.00070222723530683612}
428,114.0,168.0,{'dist': 0.00074843814039749921}
429,115.0,339.0,{'dist': 0.0013454064441690012}
430,115.0,131.0,{'dist': 0.0013726218306564359}
431,116.0,217.0,{'dist': 0.0012009384871819499}
432,116.0,335.0,{'dist': 0.0016757812058943735}
433,116.0,352.0,{'dist': 0.0018534346764825823}
434,116.0,353.0,{'dist': 0.001861544479720799}
435,116.0,420.0,{'dist': 0.0024992740646084203}
436,116.0,431.0,{'dist': 0.0018755685484690174}
437,117.0,119.0,{'dist': 0.0013176203588272897}
438,117.0,468.0,{'dist': 0.001499793652473293}
439,117.0,203.0,{'dist': 0.001592661483175095}
440,118.0,163.0,{'dist': 0.00047712488931267032}
441,118.0,469.0,{'dist': 0.00070078774248220942}
442,118.0,477.0,{'dist': 0.00083767328356291028}
443,118.0,179.0,{'dist': 0.0010453418436192651}
444,118.0,184.0,{'dist': 0.00090728064015546434}
445,118.0,432.0,{'dist': 0.0010548717173225345}
446,119.0,468.0,{'dist': 0.00050700557196400214}
447,119.0,481.0,{'dist': 0.0020550543180231817}
448,120.0,121.0,{'dist': 0.00064306904761523697}
449,120.0,264.0,{'dist': 0.00064783763398401097}
450,120.0,266.0,{'dist': 0.00072694297576034498}
451,120.0,260.0,{'dist': 0.00086590725831757573}
452,120.0,272.0,{'dist': 0.0017281667309678396}
453,121.0,260.0,{'dist': 0.00022304676640037967}
454,121.0,277.0,{'dist': 0.0011850517288270336}
455,121.0,264.0,{'dist': 0.0012907087200500237}
456,121.0,266.0,{'dist': 0.0013399060601437726}
457,122.0,487.0,{'dist': 0.0013860039862843517}
458,122.0,161.0,{'dist': 0.0015879082624593928}
459,122.0,153.0,{'dist': 0.0016789708305971649}
460,122.0,160.0,{'dist': 0.0016953149707378122}
461,123.0,444.0,{'dist': 0.0011057060233144169}
462,123.0,124.0,{'dist': 0.0011303031319140325}
463,123.0,277.0,{'dist': 0.0012574466191450761}
464,123.0,377.0,{'dist': 0.001488051225589449}
465,123.0,218.0,{'dist': 0.0017265363853668138}
466,124.0,127.0,{'dist': 0.0012198443999105434}
467,124.0,444.0,{'dist': 0.0014221930248745083}
468,124.0,451.0,{'dist': 0.0015749151659731177}
469,124.0,453.0,{'dist': 0.0016976206231094349}
470,124.0,459.0,{'dist': 0.0019519278111623673}
471,125.0,341.0,{'dist': 0.0015945346813412086}
472,126.0,341.0,{'dist': 0.0013213770279492533}
473,126.0,333.0,{'dist': 0.0015813936258934739}
474,126.0,339.0,{'dist': 0.0019870463759066644}
475,127.0,447.0,{'dist': 0.0015591041594479173}
476,127.0,453.0,{'dist': 0.0015862251353431756}
477,127.0,459.0,{'dist': 0.0019214019308771107}
478,128.0,182.0,{'dist': 0.00019932047060798662}
479,128.0,133.0,{'dist': 0.00032309139573668936}
480,128.0,158.0,{'dist': 0.00055070857991831022}
481,128.0,148.0,{'dist': 0.00055325459781711058}
482,129.0,420.0,{'dist': 0.0020104748195379704}
483,129.0,337.0,{'dist': 0.0024378303878679064}
484,129.0,431.0,{'dist': 0.0025159518218755522}
485,130.0,433.0,{'dist': 0.0017951585027497119}
486,132.0,134.0,{'dist': 0.00020460158846155068}
487,132.0,450.0,{'dist': 0.00080928008131351821}
488,132.0,447.0,{'dist': 0.0017569396830860388}
489,132.0,374.0,{'dist': 0.0017820885078960408}
490,132.0,151.0,{'dist': 0.0022827855637324516}
491,133.0,182.0,{'dist': 0.00045678995173402214}
492,133.0,158.0,{'dist': 0.00047882335991717909}
493,133.0,144.0,{'dist': 0.00070541886138582777}
494,133.0,212.0,{'dist': 0.00077509396203962952}
495,134.0,450.0,{'dist': 0.00079555771632610012}
496,134.0,447.0,{'dist': 0.0015727824642950846}
497,134.0,374.0,{'dist': 0.001986287763639117}
498,135.0,210.0,{'dist': 0.00043612534895283499}
499,135.0,168.0,{'dist': 0.00054660868086856386}
500,135.0,142.0,{'dist': 0.00058936770355831408}
501,135.0,174.0,{'dist': 0.00073014060289421946}
502,135.0,167.0,{'dist': 0.0012064017780156029}
503,135.0,175.0,{'dist': 0.00087795622897859026}
504,135.0,201.0,{'dist': 0.0010009165050151674}
505,135.0,396.0,{'dist': 0.00094191220397374354}
506,136.0,244.0,{'dist': 0.00082972585833728917}
507,136.0,247.0,{'dist': 0.00096289446981482403}
508,136.0,291.0,{'dist': 0.0015641259540076118}
509,137.0,276.0,{'dist': 0.00028703205397193483}
510,137.0,201.0,{'dist': 0.0012400607243107115}
511,137.0,208.0,{'dist': 0.0013940232315172133}
512,137.0,396.0,{'dist': 0.0017355651096952094}
513,138.0,367.0,{'dist': 0.0019116236998926049}
514,138.0,383.0,{'dist': 0.0019216662977677144}
515,138.0,381.0,{'dist': 0.0037995576216178751}
516,138.0,365.0,{'dist': 0.0039827729448174481}
517,139.0,233.0,{'dist': 0.0010642952081025591}
