SERIALNO,PUMA,NP,VEH,HHT,HINCP,HUPAC,WIF
1059430,4501,1,0.0,4.0,8800.0,4.0,
1059456,4601,1,,,,,
1059482,4622,4,3.0,1.0,138000.0,4.0,2.0
1059540,4612,2,2.0,1.0,147000.0,4.0,2.0
1059541,4902,1,1.0,6.0,60400.0,4.0,
1059586,4636,4,2.0,1.0,175000.0,1.0,1.0
1059677,4613,1,1.0,4.0,46000.0,4.0,
1059725,4634,3,3.0,1.0,121000.0,4.0,2.0
1059958,4606,2,1.0,3.0,8200.0,4.0,0.0
1059982,4621,3,2.0,2.0,212000.0,2.0,1.0
1060000,4628,4,2.0,1.0,156000.0,2.0,2.0
1060026,4632,8,3.0,1.0,295000.0,1.0,3.0
1060056,5000,1,,,,,
1060067,4622,2,1.0,3.0,12800.0,2.0,1.0
1060149,4503,1,1.0,4.0,29200.0,4.0,
1060223,4634,1,0.0,6.0,0.0,4.0,
1060241,4601,2,2.0,1.0,46260.0,4.0,1.0
1060327,5000,3,3.0,1.0,178000.0,2.0,2.0
1060353,5000,1,,,,,
1060431,4603,1,1.0,4.0,24800.0,4.0,
1060574,4606,2,1.0,3.0,13200.0,4.0,0.0
1060585,4603,5,1.0,3.0,28900.0,2.0,2.0
1060638,4602,1,,,,,
1060669,4502,1,1.0,6.0,3800.0,4.0,
1060757,5000,8,5.0,3.0,114450.0,2.0,3.0
1060758,4803,1,,,,,
1060864,4610,4,2.0,1.0,27000.0,3.0,1.0
1060902,4629,2,2.0,1.0,61000.0,4.0,1.0
1060920,4701,1,1.0,6.0,30000.0,4.0,
1060935,5000,1,,,,,
1060994,4502,2,2.0,1.0,92700.0,4.0,1.0
1061005,4603,2,2.0,5.0,180000.0,4.0,
1061066,4613,1,0.0,6.0,19000.0,4.0,
1061101,4701,2,2.0,1.0,188300.0,4.0,1.0
1061185,4701,0,,,,,
1061234,4614,1,0.0,6.0,0.0,4.0,
1061352,4803,2,3.0,7.0,65000.0,4.0,
1061528,4629,7,3.0,1.0,72000.0,3.0,3.0
1061556,4636,3,1.0,1.0,38000.0,1.0,1.0
1061677,4802,1,,,,,
1061703,4629,3,1.0,2.0,35600.0,2.0,1.0
1061749,4618,5,2.0,1.0,57000.0,2.0,1.0
1062207,4616,1,1.0,4.0,16000.0,4.0,
1062232,4616,2,2.0,7.0,79000.0,4.0,
1062275,4634,1,1.0,4.0,18000.0,4.0,
1062446,4614,1,1.0,6.0,35000.0,4.0,
1062465,4905,2,2.0,1.0,150010.0,4.0,1.0
1062638,4608,2,3.0,1.0,59000.0,4.0,1.0
1062796,4629,2,1.0,3.0,37000.0,1.0,1.0
1062850,4702,2,1.0,3.0,34000.0,4.0,1.0
1062939,4626,5,1.0,1.0,35000.0,3.0,1.0
1062951,4615,1,,,,,
1062985,4609,3,1.0,5.0,56950.0,4.0,
1063148,4603,1,2.0,4.0,55000.0,4.0,
1063206,4636,0,,,,,
1063218,4604,1,1.0,6.0,56000.0,4.0,
1063486,4619,3,1.0,1.0,87000.0,1.0,2.0
1063560,4617,3,3.0,1.0,24500.0,4.0,1.0
1063634,4609,1,2.0,4.0,9000.0,4.0,
1063719,4606,1,,,,,
1063754,4501,3,2.0,2.0,69600.0,4.0,2.0
1063776,4632,3,3.0,1.0,52500.0,4.0,3.0
1063778,4605,5,2.0,1.0,33000.0,2.0,2.0
1063785,4623,2,2.0,1.0,115000.0,4.0,2.0
1063869,4701,1,,,,,
1063888,4905,4,2.0,1.0,222000.0,3.0,2.0
1063923,4902,2,1.0,1.0,24790.0,4.0,0.0
1064150,4901,4,2.0,1.0,79000.0,3.0,2.0
1064187,4601,2,2.0,1.0,175000.0,4.0,2.0
1064274,4625,2,2.0,1.0,105000.0,4.0,2.0
1064304,4619,4,0.0,2.0,35000.0,1.0,2.0
1064341,4901,3,2.0,1.0,150000.0,1.0,2.0
1064390,4634,0,,,,,
1064560,4609,0,,,,,
1064618,4622,2,2.0,7.0,100000.0,4.0,
1064981,4604,3,2.0,7.0,83000.0,1.0,
1065120,4503,1,1.0,6.0,88000.0,4.0,
1065195,4628,1,0.0,6.0,48000.0,4.0,
1065200,4502,1,1.0,6.0,28900.0,4.0,
1065203,4619,5,3.0,3.0,52000.0,2.0,3.0
1065209,4618,2,2.0,2.0,40900.0,4.0,0.0
1065239,4802,5,3.0,1.0,130600.0,2.0,2.0
1065265,4620,4,1.0,3.0,37000.0,1.0,2.0
1065280,4614,0,,,,,
1065295,4503,1,2.0,6.0,72000.0,4.0,
1065305,4400,4,1.0,2.0,66800.0,1.0,1.0
1065416,4400,4,4.0,3.0,100200.0,3.0,1.0
1065495,5000,1,,,,,
1065537,4621,4,2.0,1.0,170000.0,2.0,2.0
1065566,4622,5,3.0,1.0,62100.0,1.0,2.0
1065581,4701,4,1.0,1.0,22000.0,2.0,1.0
1065658,4615,1,1.0,4.0,24000.0,4.0,
1065671,4614,4,1.0,1.0,41100.0,2.0,2.0
1065766,4617,3,2.0,3.0,26000.0,4.0,1.0
1065783,4612,3,3.0,5.0,190010.0,4.0,
1065860,4902,2,2.0,1.0,99000.0,4.0,1.0
1065898,4628,1,0.0,4.0,5000.0,4.0,
1065914,4905,1,1.0,4.0,175000.0,4.0,
1066060,4616,1,1.0,4.0,85000.0,4.0,
1066093,4612,0,,,,,
1066184,4626,2,2.0,1.0,115000.0,4.0,2.0
1066207,4701,6,3.0,1.0,105000.0,3.0,2.0
1066313,4609,5,5.0,1.0,177700.0,4.0,3.0
1066405,4601,1,0.0,6.0,0.0,4.0,
1066502,4903,1,,,,,
1066623,4606,1,0.0,6.0,8400.0,4.0,
1066676,4636,3,2.0,1.0,101000.0,2.0,2.0
1066739,4612,8,6.0,1.0,53600.0,2.0,3.0
1066760,4620,1,1.0,6.0,42010.0,4.0,
1066818,4501,0,,,,,
1066870,4905,1,1.0,6.0,8800.0,4.0,
1066954,4635,2,3.0,1.0,182000.0,4.0,2.0
1067011,4637,1,1.0,6.0,15000.0,4.0,
1067117,4635,3,3.0,1.0,87500.0,4.0,1.0
1067155,4613,1,1.0,6.0,50000.0,4.0,
1067327,4625,0,,,,,
1067349,4503,4,2.0,2.0,80000.0,3.0,2.0
1067362,4603,2,3.0,1.0,25000.0,4.0,2.0
1067402,4603,3,0.0,3.0,14400.0,1.0,1.0
1067406,4905,2,1.0,1.0,60000.0,4.0,1.0
1067453,4902,4,2.0,1.0,349600.0,2.0,2.0
1067570,4619,1,1.0,6.0,53000.0,4.0,
1067634,4638,4,1.0,2.0,37100.0,2.0,3.0
1067653,4701,0,,,,,
1067727,5000,1,1.0,4.0,56000.0,4.0,
1067737,4603,4,2.0,1.0,230000.0,3.0,2.0
1067800,4636,2,2.0,1.0,136600.0,4.0,1.0
1067929,4628,6,3.0,1.0,8700.0,2.0,0.0
1068058,4503,2,2.0,1.0,176000.0,4.0,1.0
1068156,4622,3,2.0,3.0,7200.0,2.0,0.0
1068209,4601,4,2.0,1.0,33600.0,2.0,2.0
1068258,4902,3,1.0,3.0,53000.0,1.0,2.0
1068398,4618,1,0.0,6.0,7500.0,4.0,
1068402,4611,4,4.0,1.0,187000.0,4.0,3.0
1068430,4610,3,2.0,3.0,20500.0,1.0,1.0
1068622,4902,4,3.0,1.0,494500.0,2.0,3.0
1068745,4604,2,2.0,1.0,138000.0,4.0,2.0
1068747,4638,1,1.0,4.0,32001.0,4.0,
1068862,4635,2,2.0,1.0,99996.0,4.0,2.0
1069036,4620,1,2.0,4.0,95000.0,4.0,
1069162,4631,6,3.0,1.0,140000.0,3.0,1.0
1069199,4603,1,,,,,
1069252,4604,3,1.0,3.0,96000.0,1.0,1.0
1069402,4630,1,,,,,
1069413,4627,4,2.0,1.0,244800.0,1.0,2.0
1069435,4633,2,2.0,5.0,102000.0,4.0,
1069494,4637,2,2.0,1.0,23000.0,4.0,2.0
1069524,4606,1,0.0,6.0,20400.0,4.0,
1069544,4606,2,3.0,1.0,481000.0,4.0,1.0
1069558,4701,0,,,,,
1069612,4638,4,1.0,1.0,21000.0,3.0,2.0
1069756,4605,1,0.0,4.0,36000.0,4.0,
1069772,4624,1,2.0,6.0,49904.0,4.0,
1069806,4502,4,2.0,1.0,112000.0,2.0,2.0
1069826,4614,0,,,,,
1069838,4631,2,3.0,5.0,484000.0,4.0,
1070005,4609,1,0.0,4.0,0.0,4.0,
1070020,4601,0,,,,,
1070044,4602,1,0.0,6.0,20000.0,4.0,
1070109,4634,2,1.0,1.0,90000.0,4.0,0.0
1070122,4606,2,3.0,2.0,38800.0,4.0,2.0
1070152,4701,1,1.0,6.0,18100.0,4.0,
1070232,4636,3,3.0,2.0,380000.0,4.0,2.0
1070334,4620,2,2.0,7.0,124300.0,4.0,
1070341,4614,1,2.0,6.0,20300.0,4.0,
1070421,4622,3,2.0,1.0,145000.0,1.0,2.0
1070431,4602,5,3.0,1.0,71600.0,1.0,2.0
1070499,4623,2,2.0,1.0,16000.0,4.0,0.0
1070542,4615,4,2.0,1.0,42400.0,3.0,1.0
1070587,4903,1,0.0,6.0,12000.0,4.0,
1070633,4702,2,1.0,3.0,51000.0,2.0,1.0
1070669,4803,1,1.0,6.0,8900.0,4.0,
1070752,4901,1,1.0,6.0,58000.0,4.0,
1070788,4629,1,3.0,4.0,42000.0,4.0,
1070830,4615,2,2.0,1.0,25000.0,4.0,1.0
1070884,4626,3,6.0,3.0,37000.0,2.0,1.0
1070950,4901,5,2.0,3.0,23000.0,3.0,1.0
1070994,4633,3,2.0,1.0,65000.0,4.0,1.0
1070999,5000,5,1.0,3.0,53800.0,2.0,3.0
1071042,4601,1,1.0,6.0,135000.0,4.0,
1071175,4614,1,0.0,4.0,14000.0,4.0,
1071243,4603,1,,,,,
1071281,4608,3,1.0,1.0,39350.0,4.0,1.0
1071292,5000,2,2.0,7.0,42100.0,4.0,
1071329,4615,7,1.0,1.0,15000.0,3.0,1.0
1071362,4618,1,0.0,6.0,14000.0,4.0,
1071443,4905,3,3.0,1.0,35000.0,4.0,2.0
1071465,4609,2,2.0,3.0,38100.0,4.0,1.0
1071470,4620,3,2.0,1.0,131000.0,2.0,2.0
1071660,4628,0,,,,,
1071689,4603,1,,,,,
1071728,4616,1,0.0,4.0,13000.0,4.0,
1071740,4615,1,2.0,4.0,0.0,4.0,
1071754,5000,1,1.0,6.0,10300.0,4.0,
1071765,4503,3,2.0,1.0,125000.0,2.0,1.0
1071795,4620,1,1.0,4.0,39100.0,4.0,
1071801,4638,3,1.0,3.0,25200.0,4.0,0.0
1071865,4613,1,2.0,4.0,160000.0,4.0,
1072004,4603,1,,,,,
1072093,4636,2,2.0,1.0,52800.0,4.0,0.0
1072145,4606,3,2.0,1.0,12500.0,4.0,1.0
1072172,4629,3,2.0,1.0,48000.0,1.0,2.0
1072212,4603,4,1.0,1.0,50000.0,2.0,2.0
1072222,4502,3,3.0,1.0,150000.0,1.0,1.0
1072321,5000,3,2.0,1.0,85000.0,2.0,1.0
1072326,4628,2,2.0,3.0,80000.0,4.0,2.0
1072345,4616,3,1.0,3.0,23400.0,2.0,1.0
1072431,4605,2,2.0,1.0,56000.0,4.0,1.0
1072611,4905,3,4.0,1.0,476000.0,4.0,2.0
1072773,4902,5,4.0,1.0,86004.0,4.0,3.0
1072855,4619,1,0.0,6.0,18300.0,4.0,
1073067,4602,1,1.0,6.0,120000.0,4.0,
1073142,4636,2,2.0,5.0,100000.0,4.0,
1073257,4602,0,,,,,
1073275,4607,2,4.0,1.0,92800.0,4.0,1.0
1073279,4634,2,2.0,1.0,22600.0,4.0,1.0
1073322,4607,4,4.0,1.0,83000.0,2.0,3.0
1073392,4629,2,2.0,1.0,134000.0,4.0,2.0
1073526,4606,1,,,,,
1073567,4615,1,1.0,6.0,13500.0,4.0,
1073605,4612,4,2.0,2.0,99290.0,2.0,1.0
1073688,4613,1,1.0,4.0,181000.0,4.0,
1073704,4612,1,1.0,4.0,35000.0,4.0,
1073712,4622,1,1.0,4.0,41700.0,4.0,
1073767,4614,2,1.0,1.0,70000.0,4.0,2.0
1073770,4605,2,2.0,1.0,72100.0,4.0,0.0
1073805,4613,1,1.0,6.0,55000.0,4.0,
1073819,4609,2,2.0,1.0,81160.0,4.0,2.0
1073921,4622,1,1.0,6.0,70000.0,4.0,
1073957,4633,1,1.0,4.0,51000.0,4.0,
1073964,4618,1,0.0,6.0,8400.0,4.0,
1074066,4605,1,,,,,
1074099,4605,5,4.0,3.0,76000.0,2.0,3.0
1074156,4701,2,1.0,3.0,28400.0,4.0,1.0
1074207,4609,3,3.0,1.0,93000.0,2.0,2.0
1074210,4617,2,2.0,3.0,60204.0,4.0,0.0
1074337,4601,1,1.0,6.0,13300.0,4.0,
1074364,4903,1,1.0,6.0,46000.0,4.0,
1074371,4701,3,2.0,1.0,140000.0,4.0,3.0
1074427,4801,3,3.0,1.0,137000.0,4.0,3.0
1074581,4701,3,1.0,3.0,13000.0,3.0,1.0
1074659,4630,1,3.0,4.0,66000.0,4.0,
