"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"C9","C10","RTS","C_1","1",9,"111","C_1",840,111,120,50,840,240,840,17.5
"C9","C8","RTS","C_2","1",5,"112","C_2",600,112,120,50,600,240,600,12.5
"D10","D11","RTS","D_1","1",10,"113","D_1",900,113,120,50,900,240,900,18.75
"D10","D9","RTS","D_2","1",4,"114","D_2",900,114,120,50,900,240,900,18.75
"D11","D10","RTS","D_2","1",3,"115","D_2",720,115,120,50,720,240,720,15
"D11","D12","RTS","D_1","1",11,"116","D_1",660,116,120,50,660,240,660,13.75
"D12","D11","RTS","D_2","1",2,"117","D_2",600,117,120,50,600,240,600,12.5
"D12","D13","RTS","D_1","1",12,"118","D_1",720,118,120,50,720,240,720,15
"D13","D12","RTS","D_2","1",1,"119","D_2",480,119,120,50,480,240,480,10
"D2","C1/D1/F1","RTS","D_2","1",12,"120","D_2",900,120,120,50,900,240,900,18.75
"D2","D3","RTS","D_1","1",2,"121","D_1",240,121,120,50,240,240,240,5
"D3","D2","RTS","D_2","1",11,"122","D_2",240,122,120,50,240,240,240,5
"D3","D4","RTS","D_1","1",3,"123","D_1",360,123,120,50,360,240,360,7.5
"D4","D3","RTS","D_2","1",10,"124","D_2",480,124,120,50,480,240,480,10
"D4","D5","RTS","D_1","1",4,"125","D_1",420,125,120,50,420,240,420,8.75
"D5","D4","RTS","D_2","1",9,"126","D_2",420,126,120,50,420,240,420,8.75
"D5","D6","RTS","D_1","1",5,"127","D_1",540,127,120,50,540,240,540,11.25
"D6","D5","RTS","D_2","1",8,"128","D_2",480,128,120,50,480,240,480,10
"D6","D7","RTS","D_1","1",6,"129","D_1",300,129,120,50,300,240,300,6.25
"D7","D6","RTS","D_2","1",7,"130","D_2",480,130,120,50,480,240,480,10
"D7","D8","RTS","D_1","1",7,"131","D_1",420,131,120,50,420,240,420,8.75
"D8","D7","RTS","D_2","1",6,"132","D_2",420,132,120,50,420,240,420,8.75
"D8","D9","RTS","D_1","1",8,"133","D_1",660,133,120,50,660,240,660,13.75
"D9","D10","RTS","D_1","1",9,"134","D_1",720,134,120,50,720,240,720,15
"D9","D8","RTS","D_2","1",5,"135","D_2",540,135,120,50,540,240,540,11.25
"F2","C1/D1/F1","RTS","F_2","1",6,"136","F_2",1200,136,120,50,1200,240,1200,25
"F2","F3","RTS","F_1","1",2,"137","F_1",480,137,120,50,480,240,480,10
"F3","F2","RTS","F_2","1",5,"138","F_2",720,138,120,50,720,240,720,15
"F3","F4","RTS","F_1","1",3,"139","F_1",420,139,120,50,420,240,420,8.75
"F4","F3","RTS","F_2","1",4,"140","F_2",300,140,120,50,300,240,300,6.25
"F4","F5","RTS","F_1","1",4,"141","F_1",360,141,120,50,360,240,360,7.5
"F5","F4","RTS","F_2","1",3,"142","F_2",420,142,120,50,420,240,420,8.75
"F5","F6","RTS","F_1","1",5,"143","F_1",720,143,120,50,720,240,720,15
"F6","F5","RTS","F_2","1",2,"144","F_2",480,144,120,50,480,240,480,10
"F6","F7","RTS","F_1","1",6,"145","F_1",1680,145,120,50,1680,240,1680,35
"F7","F6","RTS","F_2","1",1,"146","F_2",1140,146,120,50,1140,240,1140,23.75
"A1","A10","RTS","A_1","0",1,"1/12/14/16/18/20/22/24/25","A_1",1020,147,120,50,1020,240,1020,21.25
"A1","A11","RTS","A_1","0",1,"1/12/14/16/18/20/22/24/25/2","A_1",1140,148,120,50,1140,240,1140,23.75
"A1","A12","RTS","A_1","0",1,"1/12/14/16/18/20/22/24/25/2/5","A_1",1260,149,120,50,1260,240,1260,26.25
"A1","A13","RTS","A_1","0",1,"1/12/14/16/18/20/22/24/25/2/5/7","A_1",1440,150,120,50,1440,240,1440,30
"A1","A14","RTS","A_1","0",1,"1/12/14/16/18/20/22/24/25/2/5/7/9","A_1",1740,151,120,50,1740,240,1740,36.25
"A1","A3","RTS","A_1","0",1,"1/12","A_1",240,152,120,50,240,240,240,5
"A1","A4","RTS","A_1","0",1,"1/12/14","A_1",300,153,120,50,300,240,300,6.25
"A1","A5","RTS","A_1","0",1,"1/12/14/16","A_1",420,154,120,50,420,240,420,8.75
"A1","A6","RTS","A_1","0",1,"1/12/14/16/18","A_1",540,155,120,50,540,240,540,11.25
"A1","A7","RTS","A_1","0",1,"1/12/14/16/18/20","A_1",600,156,120,50,600,240,600,12.5
"A1","A8","RTS","A_1","0",1,"1/12/14/16/18/20/22","A_1",720,157,120,50,720,240,720,15
"A1","A9","RTS","A_1","0",1,"1/12/14/16/18/20/22/24","A_1",900,158,120,50,900,240,900,18.75
"A10","A1","RTS","A_2","0",5,"3/26/23/21/19/17/15/13/11","A_2",1080,159,120,50,1080,240,1080,22.5
"A10","A12","RTS","A_1","0",10,"2/5","A_1",240,160,120,50,240,240,240,5
