"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"D11","N_6340","Walk","Walk",0,0,0,"",5567.85969131879,29853,10,5567.85969131879,0,2000,0,6.18651076813199
"D11","N_6341","Walk","Walk",0,0,0,"",5912.37887257457,29854,10,5912.37887257457,0,2000,0,6.56930985841619
"D11","N_6342","Walk","Walk",0,0,0,"",6034.14224469075,29855,10,6034.14224469075,0,2000,0,6.70460249410084
"D11","N_6343","Walk","Walk",0,0,0,"",6565.42388798501,29856,10,6565.42388798501,0,2000,0,7.29491543109446
"D12","N_6348","Walk","Walk",0,0,0,"",2090.56342722381,29857,10,2090.56342722381,0,2000,0,2.3228482524709
"D12","N_6349","Walk","Walk",0,0,0,"",2433.09672328654,29858,10,2433.09672328654,0,2000,0,2.70344080365171
"D13","N_6349","Walk","Walk",0,0,0,"",6048.21828720535,29859,10,6048.21828720535,0,2000,0,6.72024254133928
"F6","N_635","Walk","Walk",0,0,0,"",8201.3588438064,29860,10,8201.3588438064,0,2000,0,9.11262093756267
"D13","N_6350","Walk","Walk",0,0,0,"",3167.24315925503,29861,10,3167.24315925503,0,2000,0,3.51915906583892
"D12","N_6350","Walk","Walk",0,0,0,"",5341.65401754924,29862,10,5341.65401754924,0,2000,0,5.93517113061027
"D13","N_6351","Walk","Walk",0,0,0,"",2170.41193842061,29863,10,2170.41193842061,0,2000,0,2.41156882046735
"D12","N_6351","Walk","Walk",0,0,0,"",6575.13931869086,29864,10,6575.13931869086,0,2000,0,7.30571035410096
"D11","N_6352","Walk","Walk",0,0,0,"",5105.14670293245,29865,10,5105.14670293245,0,2000,0,5.6723852254805
"D10","N_6352","Walk","Walk",0,0,0,"",10323.5132092227,29866,10,10323.5132092227,0,2000,0,11.4705702324697
"D11","N_6353","Walk","Walk",0,0,0,"",3862.74011959576,29867,10,3862.74011959576,0,2000,0,4.29193346621751
"D10","N_6353","Walk","Walk",0,0,0,"",11299.4537861314,29868,10,11299.4537861314,0,2000,0,12.5549486512571
"D11","N_6354","Walk","Walk",0,0,0,"",3850.31910688559,29869,10,3850.31910688559,0,2000,0,4.27813234098399
"D10","N_6354","Walk","Walk",0,0,0,"",11310.6138089686,29870,10,11310.6138089686,0,2000,0,12.5673486766317
"D11","N_6355","Walk","Walk",0,0,0,"",2357.36408880989,29871,10,2357.36408880989,0,2000,0,2.61929343201098
"D12","N_6356","Walk","Walk",0,0,0,"",6583.15011057895,29872,10,6583.15011057895,0,2000,0,7.31461123397662
"D11","N_6356","Walk","Walk",0,0,0,"",7241.46711495521,29873,10,7241.46711495521,0,2000,0,8.04607457217246
"D11","N_6357","Walk","Walk",0,0,0,"",5094.30507569653,29874,10,5094.30507569653,0,2000,0,5.66033897299614
"D10","N_6357","Walk","Walk",0,0,0,"",10314.7241932588,29875,10,10314.7241932588,0,2000,0,11.4608046591764
"D11","N_6358","Walk","Walk",0,0,0,"",3842.79929158268,29876,10,3842.79929158268,0,2000,0,4.26977699064743
"D10","N_6358","Walk","Walk",0,0,0,"",11292.209896604,29877,10,11292.209896604,0,2000,0,12.5468998851156
"D11","N_6359","Walk","Walk",0,0,0,"",3830.57194258542,29878,10,3830.57194258542,0,2000,0,4.25619104731713
"D10","N_6359","Walk","Walk",0,0,0,"",11303.5893065092,29879,10,11303.5893065092,0,2000,0,12.5595436738991
"F6","N_636","Walk","Walk",0,0,0,"",7887.28393914572,29880,10,7887.28393914572,0,2000,0,8.76364882127302
"D11","N_6360","Walk","Walk",0,0,0,"",3081.46692078891,29881,10,3081.46692078891,0,2000,0,3.42385213420991
"D10","N_6360","Walk","Walk",0,0,0,"",12029.2051505754,29882,10,12029.2051505754,0,2000,0,13.3657835006393
"D11","N_6361","Walk","Walk",0,0,0,"",2344.71412467645,29883,10,2344.71412467645,0,2000,0,2.60523791630717
"D13","N_6362","Walk","Walk",0,0,0,"",2424.89673884427,29884,10,2424.89673884427,0,2000,0,2.69432970982696
"D12","N_6362","Walk","Walk",0,0,0,"",6212.65391383303,29885,10,6212.65391383303,0,2000,0,6.90294879314781
