polyline_id,x,y,z,sequence_no
4,425839.99421993777,186899.42319873572,0,12
5,425839.99421993777,186899.42319873572,0,1
5,426155.34841440193,186678.4231594601,0,2
5,426251.25852460496,186609.90955919935,0,3
5,426288.4355268333,186576.7273954739,0,4
5,426317.84740598686,186545.73985355516,0,5
5,426329.9451361916,186536.89865107895,0,6
5,426343.7668992338,186528.06323877643,0,7
5,426501.0477212345,186410.90920642778,0,8
5,426543.3913414248,186379.966077846,0,9
5,426812.9918939145,186189.92422153804,0,10
5,426837.1858016507,186173.35357109623,0,11
5,426871.7470790576,186150.1571416157,0,12
5,426924.4305342147,186121.4718065795,0,13
5,426969.3292863691,186100.53159826,0,14
5,427182.5469837051,186016.88939592248,0,15
5,427337.92968178383,185956.36621370236,0,16
6,427337.92968178383,185956.36621370236,0,1
6,427746.25415771216,185796.8151563964,0,2
6,427810.15814213024,185765.95491355148,0,3
6,427872.36204074346,185728.42792601613,0,4
6,427923.35536496434,185691.9718548741,0,5
6,428085.9243528727,185553.77447430787,0,6
6,428192.28595493315,185464.22802553466,0,7
6,428316.8106094588,185359.20546918624,0,8
6,428351.3718302788,185338.23597590232,0,9
6,428385.9212229725,185320.5972108294,0,10
6,428594.03861530946,185226.98306074363,0,11
6,428654.50196421944,185196.11719602,0,12
6,428686.4823964388,185174.02957668193,0,13
6,428716.750853181,185148.60522397113,0,14
6,428739.243879229,185127.59341582065,0,15
6,428767.8248876028,185092.17124902568,0,16
6,428792.1156389162,185051.18246508963,0,17
6,428811.2498831998,185005.73406062176,0,18
6,428842.75991688715,184877.06566376757,0,19
6,428948.83169089805,184402.28762712365,0,20
6,428957.6500930365,184349.03029532573,0,21
6,428961.2787886421,184300.19469763243,0,22
6,428960.5799273324,184255.78399742342,0,23
7,428960.5799273324,184255.78399742342,0,1
7,428958.1157003224,184222.46883832812,0,2
7,428913.62727852445,183892.57514808976,0,3
7,428911.12195313117,183870.361906753,0,4
7,428908.685923732,183829.27549086043,0,5
7,428912.681855761,183821.29671373934,0,6
7,428940.66525161744,183809.18732530187,0,7
7,429043.50821124646,183770.82005717148,0,8
7,429214.31725477637,183705.39511680364,0,9
7,429833.5617352631,183452.59330931376,0,10
7,429890.4788660557,183429.3839731672,0,11
7,429912.4663062569,183407.3744883733,0,12
7,429941.4165013265,183391.27561029108,0,13
7,430001.31588339974,183355.0890689648,0,14
7,430035.0585235746,183326.1304716632,0,15
7,430044.5783089901,183317.285191439,0,16
7,430054.0896390737,183310.6602921884,0,17
7,430130.2828331955,183231.01709117714,0,18
7,430144.13592002477,183216.63751614123,0,19
7,430192.62850829423,183164.64392386356,0,20
7,430203.8861879749,183152.47490301542,0,21
7,430242.855019206,183110.43689556228,0,22
7,430261.8998656892,183091.63667618457,0,23
7,430295.6736418162,183055.1299677474,0,24
7,430342.43060656596,183006.46123504074,0,25
7,430390.92579293594,182954.46889456958,0,26
8,430390.92579293594,182954.46889456958,0,1
8,430450.68005254806,182890.3082012425,0,2
8,430471.45932633674,182869.29480568695,0,3
8,430504.3554095135,182837.2264088923,0,4
8,430542.45206564944,182798.5171281349,0,5
8,430583.1492804029,182756.48753801335,0,6
8,430677.546276888,182655.82666587093,0,7
8,430708.7192269095,182623.75242114023,0,8
8,430783.2094646516,182541.88859987466,0,9
8,430833.4396481114,182488.79561480094,0,10
8,430909.6617200448,182405.82959437722,0,11
8,430982.41369687486,182328.40166000545,0,12
8,430990.21082109725,182319.55076020956,0,13
8,431019.6526877018,182289.6913490505,0,14
8,431063.8312359078,182241.0168105406,0,15
8,431099.3460850466,182202.30008038593,0,16
